geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,base_bond_energy_eV,base_overcoord_energy_eV,base_angle_energy_eV,component_sum_error_eV,base_force_rms_eV_per_angstrom,base_force_max_eV_per_angstrom
h3_reactant_reference_0000,h3,train,reactant_reference,reactant_reference,0.74144,5.0,-4.512627573197906,-4.512627573197906,0.0,0.0,0.0,0.0,0.0
h3_product_reference_0000,h3,train,product_reference,product_reference,5.0,0.74144,-4.512627573197906,-4.512627573197906,0.0,0.0,0.0,2.9007785717557725e-15,3.552713678800501e-15
h3_dense_transfer_0000,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,0.84,-0.9524335971513276,-8.730433597151327,7.778,0.0,0.0,2.1754357345382567,2.6907571328518802
h3_dense_transfer_0001,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,0.86,-0.8960742889434057,-8.674074288943405,7.778,0.0,0.0,2.3289136760547913,2.9902578643616913
h3_dense_transfer_0002,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,0.88,-0.833148314310546,-8.611148314310546,7.778,0.0,0.0,2.4805399622768416,3.2946059250692663
h3_dense_transfer_0003,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,0.9,-0.7645845156549416,-8.54258451565494,7.778,0.0,4.440892098500626e-16,2.621901105276633,3.554771616062263
h3_dense_transfer_0004,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,0.92,-0.6912239093678396,-8.46922390936784,7.778,0.0,0.0,2.748694200403776,3.7749565647633223
h3_dense_transfer_0005,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,0.94,-0.6869354107010106,-8.36615120796693,7.679215797265919,0.0,4.440892098500626e-16,7.131206342460078,9.762683680719903
h3_dense_transfer_0006,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,0.96,-0.983186245165174,-8.153706437270657,7.170520192105482,0.0,-2.220446049250313e-16,19.211605561309298,24.75901886228768
h3_dense_transfer_0007,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,0.98,-1.5424650889898646,-7.840352359583639,6.297887270593774,0.0,2.220446049250313e-16,28.11941419698791,35.7055597608209
