step,time_fs,potential_eV,kinetic_eV,total_eV,energy_drift_eV,component_count,largest_component_edges,capped_steps,rebuild_count,bridge_distance_A
0,0.0,-5.037634138848642,0.19588338000000005,-4.841750758848642,0.0,2,2,0,1,1.1865039999999993
1,0.001,-5.037636216451382,0.1958854576027457,-4.841750758848637,5.329070518200751e-15,2,2,0,1,1.1864540977805227
2,0.002,-5.037642449259649,0.19589169041104618,-4.841750758848603,3.907985046680551e-14,2,2,0,1,1.1864043911220783
3,0.003,-5.037652837273661,0.19590207842509194,-4.841750758848569,7.283063041541027e-14,2,2,0,1,1.1863548800246182
4,0.004,-5.037667380493751,0.1959166216452001,-4.841750758848551,9.059419880941277e-14,2,2,0,1,1.1863055644880625
5,0.005,-5.0376860156178696,0.19593525481078825,-4.8417507608070816,-1.958439632687714e-09,1,5,0,1,1.1862564445122974
6,0.006,-5.037708672472896,0.1959579117933716,-4.841750760679525,-1.8308830007640609e-09,1,5,0,1,1.1862075201481481
7,0.007,-5.037735353057437,0.1959845925051263,-4.841750760552311,-1.703669205710412e-09,1,5,0,1,1.1861587914479088
8,0.008,-5.037766059432856,0.1960152990074435,-4.841750760425413,-1.5767707139957565e-09,1,5,0,1,1.186110258463657
9,0.009000000000000001,-5.037800793654834,0.19605003335599705,-4.841750760298837,-1.450195519225872e-09,1,5,0,1,1.186061921247262
10,0.010000000000000002,-5.037839557773355,0.1960887976007105,-4.841750760172644,-1.3240022411764585e-09,1,5,0,1,1.1860137798503843
11,0.011000000000000003,-5.037882353832513,0.1961315937857244,-4.841750760046789,-1.1981473591049507e-09,1,5,0,1,1.185965834324465
12,0.012000000000000004,-5.0379291838706495,0.19617842394936408,-4.841750759921285,-1.0726433075092245e-09,1,5,0,1,1.1859180847207362
13,0.013000000000000005,-5.037980049920217,0.1962292901241067,-4.841750759796111,-9.47468770107207e-10,1,5,0,1,1.1858705310902167
14,0.014000000000000005,-5.038034954007831,0.19628419433654887,-4.841750759671282,-8.22639734110453e-10,1,5,0,1,1.1858231734837101
15,0.015000000000000006,-5.038093898154203,0.19634313860737437,-4.841750759546829,-6.981872857636517e-10,1,5,0,1,1.185776011951809
16,0.016000000000000007,-5.038156884374046,0.19640612495132165,-4.841750759422724,-5.740821151789532e-10,1,5,0,1,1.185729046544889
17,0.017000000000000008,-5.038223914676144,0.19647315537715151,-4.841750759298993,-4.503508677089485e-10,1,5,0,1,1.1856822773131128
18,0.01800000000000001,-5.038294991063206,0.1965442318876151,-4.841750759175591,-3.269491344326525e-10,1,5,0,1,1.1856357043064243
19,0.01900000000000001,-5.038370115531991,0.19661935647942153,-4.8417507590525695,-2.0392754151998815e-10,1,5,0,1,1.185589327574558
20,0.02000000000000001,-5.03844929007312,0.19669853114320573,-4.841750758929915,-8.127276629465996e-11,1,5,0,1,1.1855431471670261
21,0.02100000000000001,-5.038532516671116,0.19678175786349672,-4.841750758807619,4.1023184849109384e-11,1,5,0,1,1.1854971631331281
22,0.022000000000000013,-5.038619797304387,0.19686903861868504,-4.841750758685702,1.6293988380766677e-10,1,5,0,1,1.1854513755219465
23,0.023000000000000013,-5.038711133945116,0.19696037538099156,-4.841750758564124,2.845181867883184e-10,1,5,0,1,1.1854057843823451
24,0.024000000000000014,-5.038806528559369,0.197055770116435,-4.841750758442934,4.057083557995611e-10,1,5,0,1,1.1853603897629732
25,0.025000000000000015,-5.038905983106904,0.19715522478480033,-4.841750758322104,5.265379243724055e-10,1,5,0,1,1.1853151917122595
26,0.026000000000000016,-5.039009499541253,0.19725874133960725,-4.841750758201646,6.469962343658153e-10,1,5,0,1,1.1852701902784162
27,0.027000000000000017,-5.039117079809663,0.19736632172807814,-4.841750758081584,7.670575286056192e-10,1,5,0,1,1.1852253855094368
28,0.028000000000000018,-5.039228725853013,0.19747796789110664,-4.841750757961906,8.867360179465322e-10,1,5,0,1,1.1851807774530965
29,0.02900000000000002,-5.039344439605846,0.19759368176322617,-4.84175075784262,1.0060219324259378e-09,1,5,0,1,1.1851363661569483
