geometry_id,system,sample_kind,region,transfer_distance_angstrom,donor_distance_angstrom,qm_energy_eV,old_hstate_energy_eV,component_hstate_energy_eV,raw_component_minus_old_eV,old_force_max_eV_per_angstrom,component_force_max_eV_per_angstrom,component_count,largest_component_edges,qm_relative_eV,old_hstate_relative_eV,component_hstate_relative_eV,old_hstate_residual_eV,component_hstate_residual_eV,relative_component_minus_old_eV
h3_dense_transfer_0008,h3,dense_transfer_scan,transfer_microscope,1.0,0.8428571429,-45.162448987367426,-3.97943478165497,-3.97943478165497,0.0,1.0311377537877409,1.0311377537877409,1,2,0.3668466311026961,0.5331927915429362,0.5331927915429362,-0.1663461604402401,-0.1663461604402401,0.0
h3_dense_transfer_0009,h3,dense_transfer_scan,transfer_microscope,1.02,0.8428571429,-45.1716826943268,-4.001992713179578,-4.001992713179578,0.0,1.906573389916936,1.906573389916936,1,2,0.357612924143325,0.5106348600183281,0.5106348600183281,-0.15302193587500312,-0.15302193587500312,0.0
h3_dense_transfer_0010,h3,dense_transfer_scan,transfer_microscope,1.04,0.8428571429,-45.17931777514866,-4.029867910655264,-4.029867910655264,0.0,2.8974711493245415,2.8974711493245415,1,2,0.34997784332146153,0.4827596625426418,0.4827596625426418,-0.13278181922118026,-0.13278181922118026,0.0
h3_dense_transfer_0011,h3,dense_transfer_scan,transfer_microscope,1.06,0.8428571429,-45.185657744681286,-4.064635481716023,-4.064635481716023,0.0,3.839413162571983,3.839413162571983,1,2,0.34363787378883615,0.44799209148188357,0.44799209148188357,-0.10435421769304742,-0.10435421769304742,0.0
h3_dense_transfer_0012,h3,dense_transfer_scan,transfer_microscope,1.08,0.8428571429,-45.19096242868305,-4.108906799055033,-4.108906799055033,0.0,4.786055175272896,4.786055175272896,1,2,0.33833318978707183,0.4037207741428732,0.4037207741428732,-0.06538758435580139,-0.06538758435580139,0.0
h3_dense_transfer_0013,h3,dense_transfer_scan,transfer_microscope,1.1,0.8428571429,-45.19545245440071,-4.165219284981884,-4.165219284981884,0.0,5.633043542609297,5.633043542609297,1,2,0.33384316406941394,0.3474082882160223,0.3474082882160223,-0.013565124146608376,-0.013565124146608376,0.0
h3_dense_transfer_0014,h3,dense_transfer_scan,transfer_microscope,1.12,0.8428571429,-45.19931424163144,-4.230916619070232,-4.230916619070232,0.0,6.002962494595965,6.002962494595965,1,2,0.32998137683868123,0.2817109541276741,0.2817109541276741,0.04827042271100712,0.04827042271100712,0.0
h3_dense_transfer_0015,h3,dense_transfer_scan,transfer_microscope,1.14,0.8428571429,-45.20270507121753,-4.294370548467185,-4.294370548467185,0.0,5.529439373808177,5.529439373808177,1,2,0.32659054725259296,0.21825702473072095,0.21825702473072095,0.108333522521872,0.108333522521872,0.0
h3_dense_transfer_0016,h3,dense_transfer_scan,transfer_microscope,1.16,0.8428571429,-45.20575590331278,-4.340177079261208,-4.340177079261208,0.0,4.355748953927563,4.355748953927563,1,2,0.32353971515734514,0.1724504939366982,0.1724504939366982,0.15108922122064694,0.15108922122064694,0.0
h3_dense_transfer_0017,h3,dense_transfer_scan,transfer_microscope,1.18,0.8428571429,-45.20857301219492,-4.360268221494962,-4.360268221494962,0.0,3.0576839167526595,3.0576839167526595,1,2,0.3207226062752042,0.1523593517029438,0.1523593517029438,0.16836325457226042,0.16836325457226042,0.0
h3_dense_transfer_0018,h3,dense_transfer_scan,transfer_microscope,1.2,0.8428571429,-45.21124246183231,-4.36141102726101,-4.36141102726101,0.0,2.6907571328518802,2.6907571328518802,1,1,0.3180531566378093,0.15121654593689637,0.15121654593689637,0.16683661070091294,0.16683661070091294,0.0
h3_dense_transfer_0019,h3,dense_transfer_scan,transfer_microscope,1.22,0.8428571429,-45.21383571398944,-4.36141102726101,-4.36141102726101,0.0,2.6907571328518802,2.6907571328518802,1,1,0.31545990448068295,0.15121654593689637,0.15121654593689637,0.16424335854378658,0.16424335854378658,0.0
h3_dense_transfer_0020,h3,dense_transfer_scan,transfer_microscope,1.24,0.8428571429,-45.216410269244165,-4.36141102726101,-4.36141102726101,0.0,2.6907571328518802,2.6907571328518802,1,1,0.312885349225958,0.15121654593689637,0.15121654593689637,0.16166880328906164,0.16166880328906164,0.0
h3_dense_transfer_0021,h3,dense_transfer_scan,transfer_microscope,1.26,0.8428571429,-45.21900736177095,-4.36141102726101,-4.36141102726101,0.0,2.6907571328518802,2.6907571328518802,1,1,0.3102882566991738,0.15121654593689637,0.15121654593689637,0.15907171076227744,0.15907171076227744,0.0
h3_dense_transfer_0022,h3,dense_transfer_scan,transfer_microscope,1.28,0.8428571429,-45.22165537340447,-4.36141102726101,-4.36141102726101,0.0,2.6907571328518802,2.6907571328518802,1,1,0.3076402450656559,0.15121654593689637,0.15121654593689637,0.15642369912875953,0.15642369912875953,0.0
water_reactant_reference_0000,water,reactant_reference,reactant_reference,5.0,0.96,-4139.119228018444,-15.135009322487559,-15.135009322487562,-3.552713678800501e-15,1.9226425033566525,1.9226425033566525,2,3,0.0,0.0,0.0,0.0,0.0,0.0
water_product_reference_0000,water,product_reference,product_reference,0.96,5.0,-4139.119228018612,-15.135009322487559,-15.135009322487562,-3.552713678800501e-15,1.9226425033566659,1.9226425033566659,2,3,-1.6825651982799172e-10,0.0,0.0,-1.6825651982799172e-10,-1.6825651982799172e-10,0.0
water_dense_transfer_0000,water,dense_transfer_scan,transfer_microscope,1.08,1.0285714286,-4137.8034006296875,-6.04843901732192,-6.048439017321922,-1.7763568394002505e-15,74.9487667041363,74.94876670413629,3,2,1.3158273887565883,9.086570305165639,9.08657030516564,-7.77074291640905,-7.770742916409052,1.7763568394002505e-15
water_dense_transfer_0001,water,dense_transfer_scan,transfer_microscope,1.1,1.0285714286,-4137.898642239152,-7.5173027152398095,-7.517302715239808,1.7763568394002505e-15,67.99502008086496,67.99502008086495,3,2,1.220585779292378,7.617706607247749,7.617706607247754,-6.397120827955371,-6.397120827955376,5.329070518200751e-15
water_dense_transfer_0002,water,dense_transfer_scan,transfer_microscope,1.12,1.0285714286,-4137.984025472869,-8.840185393754268,-8.840185393754265,3.552713678800501e-15,60.56689824616767,60.566898246167675,3,2,1.1352025455753392,6.29482392873329,6.294823928733297,-5.159621383157951,-5.159621383157958,7.105427357601002e-15
water_dense_transfer_0003,water,dense_transfer_scan,transfer_microscope,1.14,1.0285714286,-4138.060804366496,-10.010928132895344,-10.010928132895343,1.7763568394002505e-15,52.98515014843492,52.98515014843492,3,2,1.0584236519480328,5.124081189592214,5.12408118959222,-4.0656575376441815,-4.065657537644187,5.329070518200751e-15
water_dense_transfer_0004,water,dense_transfer_scan,transfer_microscope,1.16,1.0285714286,-4138.130073393572,-11.029362714880072,-11.02936271488007,1.7763568394002505e-15,45.52458737442279,45.52458737442278,3,2,0.9891546248718441,4.105646607607486,4.105646607607492,-3.116491982735642,-3.1164919827356474,5.329070518200751e-15
water_dense_transfer_0005,water,dense_transfer_scan,transfer_microscope,1.18,1.0285714286,-4138.192784040764,-11.900276894193915,-11.900276894193912,3.552713678800501e-15,38.40326212210892,38.40326212210891,3,2,0.9264439776798099,3.2347324282936434,3.2347324282936505,-2.3082884506138335,-2.3082884506138406,7.105427357601002e-15
water_dense_transfer_0006,water,dense_transfer_scan,transfer_microscope,1.2,1.0285714286,-4138.249761842807,-12.632212094035864,-12.63221209403586,3.552713678800501e-15,31.77647097814824,31.776470978148236,3,2,0.8694661756371715,2.502797228451694,2.5027972284517013,-1.6333310528145226,-1.6333310528145297,7.105427357601002e-15
water_dense_transfer_0007,water,dense_transfer_scan,transfer_microscope,1.22,1.0285714286,-4138.30172483687,-13.25052035306213,-13.250520353062129,1.7763568394002505e-15,26.821335324680714,26.821335324680714,3,2,0.817503181574466,1.884488969425428,1.8844889694254334,-1.066985787850962,-1.0669857878509674,5.329070518200751e-15
water_dense_transfer_0008,water,dense_transfer_scan,transfer_microscope,1.24,1.0285714286,-4138.349297846798,-13.752785500261021,-13.752785500261021,0.0,20.318563154099554,20.318563154099554,3,2,0.769930171645683,1.3822238222265373,1.3822238222265408,-0.6122936505808543,-0.6122936505808578,3.552713678800501e-15
water_dense_transfer_0009,water,dense_transfer_scan,transfer_microscope,1.26,1.0285714286,-4138.393021556673,-14.112548442236886,-14.112548442236882,3.552713678800501e-15,13.767820773755805,13.767820773755798,3,2,0.7262064617707438,1.022460880250673,1.02246088025068,-0.29625441847992917,-0.2962544184799363,7.105427357601002e-15
water_dense_transfer_0010,water,dense_transfer_scan,transfer_microscope,1.28,1.0285714286,-4138.433356238197,-14.3718830774005,-14.371883077400497,3.552713678800501e-15,9.745874457556996,9.745874457556988,3,2,0.6858717802469982,0.763126245087058,0.7631262450870651,-0.07725446484005971,-0.07725446484006682,7.105427357601002e-15
water_dense_transfer_0011,water,dense_transfer_scan,transfer_microscope,1.3,1.0285714286,-4138.47067864717,-14.551369786267177,-14.551369786267173,3.552713678800501e-15,5.999492054138203,5.999492054138202,3,2,0.6485493712743846,0.5836395362203817,0.5836395362203888,0.06490983505400294,0.06490983505399583,7.105427357601002e-15
water_dense_transfer_0012,water,dense_transfer_scan,transfer_microscope,1.32,1.0285714286,-4138.505301404755,-14.657025571099016,-14.657025571099012,3.552713678800501e-15,3.3875293134244036,3.3875293134244018,3,2,0.6139266136888182,0.47798375138854254,0.47798375138854965,0.13594286230027564,0.13594286230026853,7.105427357601002e-15
water_dense_transfer_0013,water,dense_transfer_scan,transfer_microscope,1.34,1.0285714286,-4138.359175758805,-14.70149631550484,-14.70149631550484,0.0,3.5000234178153042,3.5000234178152994,3,2,0.7600522596394512,0.433513006982718,0.43351300698272155,0.3265392526567332,0.3265392526567297,3.552713678800501e-15
water_dense_transfer_0014,water,dense_transfer_scan,transfer_microscope,1.36,1.0285714286,-4138.41223143956,-14.732707334229936,-14.732707334229932,3.552713678800501e-15,3.677584498849924,3.6775844988499222,3,2,0.7069965788841728,0.40230198825762287,0.40230198825762997,0.3046945906265499,0.3046945906265428,7.105427357601002e-15
water_dense_transfer_0015,water,dense_transfer_scan,transfer_microscope,1.38,1.0285714286,-4138.46258794179,-14.762859958990102,-14.7628599589901,1.7763568394002505e-15,3.9592238019286534,3.9592238019286534,3,2,0.6566400766541847,0.3721493634974564,0.37214936349746175,0.28449071315672825,0.2844907131567229,5.329070518200751e-15
water_dense_transfer_0016,water,dense_transfer_scan,transfer_microscope,1.4,1.0285714286,-4138.510302873076,-14.795642476173075,-14.795642476173075,0.0,4.3720001539145485,4.3720001539145485,3,2,0.6089251453677207,0.33936684631448344,0.339366846314487,0.26955829905323725,0.2695582990532337,3.552713678800501e-15
water_dense_transfer_0017,water,dense_transfer_scan,transfer_microscope,1.42,1.0285714286,-4138.5554243140605,-14.83449400707593,-14.834494007075929,1.7763568394002505e-15,4.858765525740159,4.858765525740159,3,2,0.5638037043836448,0.30051531541162824,0.30051531541163357,0.26328838897201656,0.26328838897201123,5.329070518200751e-15
water_dense_transfer_0018,water,dense_transfer_scan,transfer_microscope,1.44,1.0285714286,-4138.598031232143,-14.880480607038969,-14.880480607038969,0.0,5.252501061253278,5.252501061253278,3,2,0.5211967863015161,0.2545287154485898,0.25452871544859335,0.2666680708529263,0.26666807085292277,3.552713678800501e-15
water_dense_transfer_0019,water,dense_transfer_scan,transfer_microscope,1.46,1.0285714286,-4138.638147471282,-14.930462397254265,-14.930462397254262,3.552713678800501e-15,5.338459170643484,5.338459170643484,3,2,0.4810805471624917,0.2045469252332932,0.20454692523330031,0.2765336219291985,0.2765336219291914,7.105427357601002e-15
water_dense_transfer_0020,water,dense_transfer_scan,transfer_microscope,1.48,1.0285714286,-4138.675826062988,-14.977394087484917,-14.97739408748492,-1.7763568394002505e-15,4.999923791657983,4.999923791657983,3,2,0.44340195545646566,0.15761523500264119,0.15761523500264296,0.28578672045382447,0.2857867204538227,1.7763568394002505e-15
water_dense_transfer_0021,water,dense_transfer_scan,transfer_microscope,1.5,1.0285714286,-4138.7112036449325,-15.013498561270788,-15.013498561270785,3.552713678800501e-15,4.327736796567194,4.327736796567194,3,2,0.40802437351158005,0.12151076121677029,0.1215107612167774,0.28651361229480976,0.28651361229480266,7.105427357601002e-15
water_dense_transfer_0022,water,dense_transfer_scan,transfer_microscope,1.52,1.0285714286,-4138.744332962799,-15.034122974778452,-15.034122974778448,3.552713678800501e-15,4.121718404303932,4.121718404303934,3,2,0.3748950556455384,0.10088634770910687,0.10088634770911398,0.2740087079364315,0.2740087079364244,7.105427357601002e-15
water_dense_transfer_0023,water,dense_transfer_scan,transfer_microscope,1.54,1.0285714286,-4138.775243356848,-15.039030186499849,-15.039030186499849,0.0,4.121722291126234,4.121722291126234,3,1,0.3439846615965507,0.0959791359877098,0.09597913598771335,0.24800552560884093,0.24800552560883737,3.552713678800501e-15
water_dense_transfer_0024,water,dense_transfer_scan,transfer_microscope,1.56,1.0285714286,-4138.804090220661,-15.039030186499849,-15.039030186499849,0.0,4.121722291126234,4.121722291126234,3,1,0.31513779778288153,0.0959791359877098,0.09597913598771335,0.21915866179517174,0.21915866179516819,3.552713678800501e-15
water_dense_transfer_0025,water,dense_transfer_scan,transfer_microscope,1.58,1.0285714286,-4138.830993008928,-15.039030186499849,-15.039030186499849,0.0,4.121722291126234,4.121722291126234,3,1,0.2882350095160291,0.0959791359877098,0.09597913598771335,0.1922558735283193,0.19225587352831575,3.552713678800501e-15
water_dense_transfer_0026,water,dense_transfer_scan,transfer_microscope,1.6,1.0285714286,-4138.855954871499,-15.039030186499849,-15.039030186499849,0.0,4.121722291126234,4.121722291126234,3,1,0.26327314694481174,0.0959791359877098,0.09597913598771335,0.16729401095710195,0.1672940109570984,3.552713678800501e-15
water_dense_transfer_0027,water,dense_transfer_scan,transfer_microscope,1.62,1.0285714286,-4138.879066206727,-15.039030186499849,-15.039030186499849,0.0,4.121722291126234,4.121722291126234,3,1,0.24016181171737117,0.0959791359877098,0.09597913598771335,0.14418267572966137,0.14418267572965782,3.552713678800501e-15
water_dense_transfer_0028,water,dense_transfer_scan,transfer_microscope,1.64,1.0285714286,-4138.900530246584,-15.039030186499849,-15.039030186499849,0.0,4.121722291126234,4.121722291126234,3,1,0.21869777186020656,0.0959791359877098,0.09597913598771335,0.12271863587249676,0.12271863587249321,3.552713678800501e-15
formaldehyde_reactant_reference_0000,formaldehyde,reactant_reference,reactant_reference,5.0,1.09,-3128.712103255752,-15.278360339065305,-15.278360339065305,0.0,0.5909819377291787,0.5909819377291787,2,1,0.0,0.0,0.0,0.0,0.0,0.0
formaldehyde_product_reference_0000,formaldehyde,product_reference,product_reference,0.74144,5.0,-3129.2079963042843,-15.716946152270513,-15.71694615227051,3.552713678800501e-15,2.1916024948796298,2.1916024948796298,2,1,-0.4958930485322526,-0.43858581320520784,-0.4385858132052043,-0.05730723532704474,-0.05730723532704829,3.552713678800501e-15
formaldehyde_dense_transfer_0000,formaldehyde,dense_transfer_scan,transfer_microscope,0.84,1.3857142857,-3128.5198545859234,-15.558696945785833,-15.558696945785833,0.0,2.6316801209237504,2.6316801209237553,2,2,0.19224866982858657,-0.2803366067205282,-0.2803366067205282,0.47258527654911475,0.47258527654911475,0.0
formaldehyde_dense_transfer_0001,formaldehyde,dense_transfer_scan,transfer_microscope,0.86,1.3857142857,-3128.538540172527,-15.559440092718685,-15.559440092718685,0.0,2.572588668676488,2.5725886686764907,2,2,0.1735630832249626,-0.2810797536533798,-0.2810797536533798,0.4546428368783424,0.4546428368783424,0.0
formaldehyde_dense_transfer_0002,formaldehyde,dense_transfer_scan,transfer_microscope,0.88,1.3857142857,-3128.550174803572,-15.556813972424669,-15.556813972424669,0.0,2.4503508828429603,2.4503508828429603,2,2,0.1619284521798363,-0.2784536333593639,-0.2784536333593639,0.4403820855392002,0.4403820855392002,0.0
formaldehyde_dense_transfer_0003,formaldehyde,dense_transfer_scan,transfer_microscope,0.9,1.3857142857,-3128.5556879220735,-15.551737835616924,-15.551737835616924,0.0,2.2729434017495453,2.2729434017495453,2,2,0.1564153336785239,-0.27337749655161936,-0.27337749655161936,0.42979283023014325,0.42979283023014325,0.0
formaldehyde_dense_transfer_0004,formaldehyde,dense_transfer_scan,transfer_microscope,0.92,1.3857142857,-3128.55591278455,-15.545000454999599,-15.5450004549996,-1.7763568394002505e-15,2.0486185376871884,2.0486185376871884,2,2,0.15619047120208052,-0.26664011593429393,-0.2666401159342957,0.42283058713637445,0.4228305871363762,-1.7763568394002505e-15
formaldehyde_dense_transfer_0005,formaldehyde,dense_transfer_scan,transfer_microscope,0.94,1.3857142857,-3128.551597634878,-15.517447960239178,-15.51744796023918,-1.7763568394002505e-15,4.693763148681495,4.693763148681499,2,2,0.1605056208741189,-0.23908762117387283,-0.2390876211738746,0.39959324204799174,0.3995932420479935,-1.7763568394002505e-15
formaldehyde_dense_transfer_0006,formaldehyde,dense_transfer_scan,transfer_microscope,0.96,1.3857142857,-3128.543415087589,-15.411326242890174,-15.411326242890173,1.7763568394002505e-15,7.919097300900552,7.919097300900552,2,2,0.16868816816304388,-0.1329659038248696,-0.13296590382486784,0.3016540719879135,0.3016540719879117,1.7763568394002505e-15
formaldehyde_dense_transfer_0007,formaldehyde,dense_transfer_scan,transfer_microscope,0.98,1.3857142857,-3128.531969909391,-15.242699664389281,-15.242699664389281,0.0,9.689397123402369,9.68939712340237,2,2,0.18013334636088985,0.03566067467602352,0.03566067467602352,0.14447267168486633,0.14447267168486633,0.0
formaldehyde_dense_transfer_0008,formaldehyde,dense_transfer_scan,transfer_microscope,1.0,1.3857142857,-3128.5178057548574,-15.039367476191615,-15.039367476191615,0.0,10.523046905087613,10.52304690508762,2,2,0.19429750089466324,0.23899286287369037,0.23899286287369037,-0.044695361979027126,-0.044695361979027126,0.0
formaldehyde_dense_transfer_0009,formaldehyde,dense_transfer_scan,transfer_microscope,1.02,1.3857142857,-3128.501410733337,-14.832105986433083,-14.832105986433085,-1.7763568394002505e-15,9.955966643077213,9.955966643077213,2,2,0.21069252241522918,0.4462543526322218,0.44625435263222,-0.23556183021699262,-0.23556183021699084,-1.7763568394002505e-15
formaldehyde_dense_transfer_0010,formaldehyde,dense_transfer_scan,transfer_microscope,1.04,1.3857142857,-3128.4832223753433,-14.650050721577943,-14.65005072157794,1.7763568394002505e-15,8.05815350850434,8.058153508504336,2,2,0.2288808804087239,0.6283096174873624,0.6283096174873641,-0.39942873707863846,-0.39942873707864024,1.7763568394002505e-15
formaldehyde_dense_transfer_0011,formaldehyde,dense_transfer_scan,transfer_microscope,1.06,1.3857142857,-3128.4636319179363,-14.515838869356882,-14.515838869356884,-1.7763568394002505e-15,5.2551167516628965,5.255116751662901,2,2,0.24847133781577213,0.7625214697084228,0.762521469708421,-0.5140501318926507,-0.5140501318926489,-1.7763568394002505e-15
formaldehyde_dense_transfer_0012,formaldehyde,dense_transfer_scan,transfer_microscope,1.08,1.3857142857,-3128.4429880506914,-14.44223006023542,-14.44223006023542,0.0,5.4277898280179215,5.427789828017921,2,2,0.26911520506064335,0.8361302788298843,0.8361302788298843,-0.567015073769241,-0.567015073769241,0.0
formaldehyde_dense_transfer_0013,formaldehyde,dense_transfer_scan,transfer_microscope,1.1,1.3857142857,-3128.4216002995377,-14.429757675176804,-14.429757675176804,0.0,6.533361513372787,6.533361513372787,2,2,0.29050295621436817,0.8486026638885011,0.8486026638885011,-0.558099707674133,-0.558099707674133,0.0
formaldehyde_dense_transfer_0014,formaldehyde,dense_transfer_scan,transfer_microscope,1.12,1.3857142857,-3128.39974217119,-14.46413942789613,-14.46413942789613,0.0,8.56611631382097,8.566116313820968,2,2,0.3123610845618714,0.8142209111691745,0.8142209111691745,-0.5018598266073031,-0.5018598266073031,0.0
formaldehyde_dense_transfer_0015,formaldehyde,dense_transfer_scan,transfer_microscope,1.14,1.3857142857,-3128.3776541406205,-14.51783487655461,-14.517834876554609,1.7763568394002505e-15,8.850718910127316,8.850718910127316,2,2,0.33444911513151965,0.7605254625106941,0.7605254625106959,-0.42607634737917444,-0.4260763473791762,1.7763568394002505e-15
formaldehyde_dense_transfer_0016,formaldehyde,dense_transfer_scan,transfer_microscope,1.16,1.3857142857,-3128.3555460209095,-14.562058332894377,-14.562058332894376,1.7763568394002505e-15,7.871555698003574,7.871555698003574,2,2,0.3565572348425121,0.7163020061709275,0.7163020061709293,-0.3597447713284154,-0.3597447713284172,1.7763568394002505e-15
formaldehyde_dense_transfer_0017,formaldehyde,dense_transfer_scan,transfer_microscope,1.18,1.3857142857,-3128.333599197464,-14.589142343857853,-14.589142343857853,0.0,6.357067480732193,6.357067480732193,2,2,0.37850405828794464,0.6892179952074518,0.6892179952074518,-0.3107139369195071,-0.3107139369195071,0.0
formaldehyde_dense_transfer_0018,formaldehyde,dense_transfer_scan,transfer_microscope,1.2,1.3857142857,-3128.311969440319,-14.59109890467536,-14.591098904675357,1.7763568394002505e-15,5.965349121100451,5.965349121100451,2,1,0.40013381543303694,0.6872614343899457,0.6872614343899475,-0.28712761895690875,-0.2871276189569105,1.7763568394002505e-15
formaldehyde_dense_transfer_0019,formaldehyde,dense_transfer_scan,transfer_microscope,1.22,1.3857142857,-3128.290789258928,-14.59109890467536,-14.591098904675357,1.7763568394002505e-15,5.965349121100451,5.965349121100451,2,1,0.42131399682421034,0.6872614343899457,0.6872614343899475,-0.26594743756573536,-0.26594743756573713,1.7763568394002505e-15
formaldehyde_dense_transfer_0020,formaldehyde,dense_transfer_scan,transfer_microscope,1.24,1.3857142857,-3128.2701691997395,-14.59109890467536,-14.591098904675357,1.7763568394002505e-15,5.965349121100451,5.965349121100451,2,1,0.441934056012542,0.6872614343899457,0.6872614343899475,-0.2453273783774037,-0.24532737837740548,1.7763568394002505e-15
formaldehyde_dense_transfer_0021,formaldehyde,dense_transfer_scan,transfer_microscope,1.26,1.3857142857,-3128.2501994565037,-14.59109890467536,-14.591098904675357,1.7763568394002505e-15,5.965349121100451,5.965349121100451,2,1,0.46190379924837544,0.6872614343899457,0.6872614343899475,-0.22535763514157026,-0.22535763514157203,1.7763568394002505e-15
formaldehyde_dense_transfer_0022,formaldehyde,dense_transfer_scan,transfer_microscope,1.28,1.3857142857,-3128.230952639451,-14.59109890467536,-14.591098904675357,1.7763568394002505e-15,5.965349121100451,5.965349121100451,2,1,0.48115061630096534,0.6872614343899457,0.6872614343899475,-0.20611081808898035,-0.20611081808898213,1.7763568394002505e-15
methane_reactant_reference_0000,methane,reactant_reference,reactant_reference,5.0,1.09,-1115.7861627576292,-18.182950505049764,-18.182950505049767,-3.552713678800501e-15,0.11656616129668862,0.11656616129668862,4,1,0.0,0.0,0.0,0.0,0.0,0.0
methane_product_reference_0000,methane,product_reference,product_reference,0.74144,5.0,-1115.2449136524867,-18.127770065517772,-18.127770065517772,0.0,0.6617167972363673,0.6617167972363673,4,1,0.5412491051424695,0.055180439531991254,0.05518043953199481,0.48606866561047823,0.4860686656104747,3.552713678800501e-15
methane_dense_transfer_0000,methane,dense_transfer_scan,transfer_microscope,0.84,1.3857142857,-1115.0840765090138,-17.779771549267863,-17.77977154926787,-7.105427357601002e-15,2.222128159575499,2.2221281595754974,4,2,0.7020862486153874,0.40317895578190033,0.4031789557818968,0.29890729283348705,0.2989072928334906,-3.552713678800501e-15
methane_dense_transfer_0001,methane,dense_transfer_scan,transfer_microscope,0.86,1.3857142857,-1115.1062736163965,-17.805657540714865,-17.80565754071487,-3.552713678800501e-15,1.8357162281260688,1.8357162281260688,4,2,0.6798891412327066,0.3772929643348988,0.3772929643348988,0.3025961768978078,0.3025961768978078,0.0
methane_dense_transfer_0002,methane,dense_transfer_scan,transfer_microscope,0.88,1.3857142857,-1115.1218533049846,-17.82884337745182,-17.828843377451822,-3.552713678800501e-15,1.4392995184870632,1.4392995184870614,4,2,0.6643094526446021,0.3541071275979455,0.3541071275979455,0.31020232504665657,0.31020232504665657,0.0
methane_dense_transfer_0003,methane,dense_transfer_scan,transfer_microscope,0.9,1.3857142857,-1115.1317447119097,-17.85003277099601,-17.85003277099601,0.0,1.0367636594270575,1.036763659427054,4,2,0.654418045719467,0.3329177340537548,0.33291773405375835,0.32150031166571225,0.3215003116657087,3.552713678800501e-15
methane_dense_transfer_0004,methane,dense_transfer_scan,transfer_microscope,0.92,1.3857142857,-1115.1367783041985,-17.869778291856434,-17.869778291856434,0.0,0.958640628820304,0.9586406288203075,4,2,0.6493844534306845,0.31317221319332944,0.313172213193333,0.3362122402373551,0.3362122402373515,3.552713678800501e-15
