geometry_id,system,transfer_distance_angstrom,fixed_donor_distance_angstrom,taper_inner_angstrom,taper_outer_angstrom,base_relative_eV,qm_relative_eV,residual_target_eV,base_bond_energy_eV,base_overcoord_energy_eV,base_angle_energy_eV,base_force_max_eV_per_angstrom
h3_dense_transfer_0014,h3,1.12,0.8428571429,0.9268,1.186304,-0.16297209238072252,0.32998137683868123,0.49295346921940375,-4.856750708916916,0.18115104333828727,0.0,4.479172276580973
h3_dense_transfer_0015,h3,1.14,0.8428571429,0.9268,1.186304,-0.04476933914414882,0.32659054725259296,0.3713598863967418,-4.602941903516729,0.04554499117467471,0.0,6.66792082869169
h3_dense_transfer_0016,h3,1.16,0.8428571429,0.9268,1.186304,0.07902016247905408,0.32353971515734514,0.24451955267829106,-4.4385222839827865,0.004914873263934517,0.0,5.183494093494856
h3_dense_transfer_0017,h3,1.18,0.8428571429,0.9268,1.186304,0.14689657859044747,0.3207226062752042,0.17382602768475675,-4.365747469190865,1.647458340591918e-05,0.0,2.6907571328518802
h3_dense_transfer_0018,h3,1.2,0.8428571429,0.9268,1.186304,0.15121654593689637,0.3180531566378093,0.16683661070091294,-4.36141102726101,0.0,0.0,2.6907571328518802
h3_dense_transfer_0019,h3,1.22,0.8428571429,0.9268,1.186304,0.15121654593689637,0.31545990448068295,0.16424335854378658,-4.36141102726101,0.0,0.0,2.6907571328518802
h3_dense_transfer_0020,h3,1.24,0.8428571429,0.9268,1.186304,0.15121654593689637,0.312885349225958,0.16166880328906164,-4.36141102726101,0.0,0.0,2.6907571328518802
h3_dense_transfer_0021,h3,1.26,0.8428571429,0.9268,1.186304,0.15121654593689637,0.3102882566991738,0.15907171076227744,-4.36141102726101,0.0,0.0,2.6907571328518802
h3_dense_transfer_0022,h3,1.28,0.8428571429,0.9268,1.186304,0.15121654593689637,0.3076402450656559,0.15642369912875953,-4.36141102726101,0.0,0.0,2.6907571328518802
water_dense_transfer_0000,water,1.08,1.0285714286,1.2,1.536,10.952822990059465,1.3158273887565883,-9.636995601302877,-20.48880734270736,11.356584763084658,4.933970799523074,65.94966944785183
water_dense_transfer_0001,water,1.1,1.0285714286,1.2,1.536,9.690946725690807,1.220585779292378,-8.47036094639843,-20.365916590147833,10.510689129015136,4.395099416664411,59.27663460642269
water_dense_transfer_0002,water,1.12,1.0285714286,1.2,1.536,8.576195040904743,1.1352025455753392,-7.440992495329404,-20.239906131701588,9.792054079423385,3.87297232302385,52.14024682512092
water_dense_transfer_0003,water,1.14,1.0285714286,1.2,1.536,7.613365620129654,1.0584236519480328,-6.5549419681816214,-20.112038592485717,9.202304735790843,3.3720247066654365,44.85910635377978
water_dense_transfer_0004,water,1.16,1.0285714286,1.2,1.536,6.8014453402485024,0.9891546248718441,-5.812290715376658,-19.9833830074216,8.736892002266082,2.8968615752449303,37.70474220436264
water_dense_transfer_0005,water,1.18,1.0285714286,1.2,1.536,6.1346488781374084,0.9264439776798099,-5.2082049004575985,-19.85483250225615,8.385942508945536,2.4524641012889314,30.891599828094005
water_dense_transfer_0006,water,1.2,1.0285714286,1.2,1.536,5.6036130376511935,0.8694661756371715,-4.734146862014022,-19.727121548092924,8.135392785737597,2.0442670298474246,24.57161882179656
