geometry_id,system,sample_kind,region,transfer_distance_angstrom,donor_distance_angstrom,qm_energy_eV,hstate_energy_eV,sapt_hstate_energy_eV,hstate_force_max_eV_per_angstrom,sapt_hstate_force_max_eV_per_angstrom,qm_relative_eV,hstate_relative_eV,sapt_hstate_relative_eV,hstate_residual_eV,sapt_hstate_residual_eV
water_dense_transfer_0014,water,dense_transfer_scan,transfer_microscope,1.36,1.0285714286,-4138.41223143956,-14.732707334229936,-14.458482011895807,3.677584498849924,4.579699202672471,0.7069965788841728,0.40230198825762287,0.6782870069532123,0.3046945906265499,0.028709571930960465
water_dense_transfer_0015,water,dense_transfer_scan,transfer_microscope,1.38,1.0285714286,-4138.46258794179,-14.762859958990102,-14.517654057853575,3.9592238019286534,5.9543124477352185,0.6566400766541847,0.3721493634974564,0.6191149609954447,0.28449071315672825,0.03752511565873995
water_dense_transfer_0016,water,dense_transfer_scan,transfer_microscope,1.4,1.0285714286,-4138.510302873076,-14.795642476173075,-14.598145503229958,4.3720001539145485,7.007284184113424,0.6089251453677207,0.33936684631448344,0.5386235156190615,0.26955829905323725,0.07030162974865917
water_dense_transfer_0017,water,dense_transfer_scan,transfer_microscope,1.42,1.0285714286,-4138.5554243140605,-14.83449400707593,-14.69135431050569,4.858765525740159,7.498359261131728,0.5638037043836448,0.30051531541162824,0.4454147083433302,0.26328838897201656,0.11838899604031461
water_dense_transfer_0018,water,dense_transfer_scan,transfer_microscope,1.44,1.0285714286,-4138.598031232143,-14.880480607038969,-14.786862299162767,5.252501061253278,7.44249821746098,0.5211967863015161,0.2545287154485898,0.34990671968625264,0.2666680708529263,0.17129006661526347
water_dense_transfer_0019,water,dense_transfer_scan,transfer_microscope,1.46,1.0285714286,-4138.638147471282,-14.930462397254265,-14.875426918383836,5.338459170643484,6.93051108709065,0.4810805471624917,0.2045469252332932,0.2613421004651837,0.2765336219291985,0.21973844669730802
water_dense_transfer_0020,water,dense_transfer_scan,transfer_microscope,1.48,1.0285714286,-4138.675826062988,-14.977394087484917,-14.949279492439599,4.999923791657983,6.05043295870068,0.44340195545646566,0.15761523500264119,0.1874895264094203,0.28578672045382447,0.25591242904704536
water_dense_transfer_0021,water,dense_transfer_scan,transfer_microscope,1.5,1.0285714286,-4138.7112036449325,-15.013498561270788,-15.002435157759203,4.327736796567194,4.940771933017936,0.40802437351158005,0.12151076121677029,0.13433386108981615,0.28651361229480976,0.2736905124217639
water_dense_transfer_0022,water,dense_transfer_scan,transfer_microscope,1.52,1.0285714286,-4138.744332962799,-15.034122974778452,-15.032026829586346,4.121718404303932,4.121719428908943,0.3748950556455384,0.10088634770910687,0.10474218926267298,0.2740087079364315,0.2701528663828654
water_dense_transfer_0023,water,dense_transfer_scan,transfer_microscope,1.54,1.0285714286,-4138.775243356848,-15.039030186499849,-15.039030186499849,4.121722291126234,4.121722291126234,0.3439846615965507,0.0959791359877098,0.09773883234917058,0.24800552560884093,0.24624582924738014
water_dense_transfer_0024,water,dense_transfer_scan,transfer_microscope,1.56,1.0285714286,-4138.804090220661,-15.039030186499849,-15.039030186499849,4.121722291126234,4.121722291126234,0.31513779778288153,0.0959791359877098,0.09773883234917058,0.21915866179517174,0.21739896543371096
water_dense_transfer_0025,water,dense_transfer_scan,transfer_microscope,1.58,1.0285714286,-4138.830993008928,-15.039030186499849,-15.039030186499849,4.121722291126234,4.121722291126234,0.2882350095160291,0.0959791359877098,0.09773883234917058,0.1922558735283193,0.19049617716685852
water_dense_transfer_0026,water,dense_transfer_scan,transfer_microscope,1.6,1.0285714286,-4138.855954871499,-15.039030186499849,-15.039030186499849,4.121722291126234,4.121722291126234,0.26327314694481174,0.0959791359877098,0.09773883234917058,0.16729401095710195,0.16553431459564116
