step,time_fs,old_total_eV,new_total_eV,old_drift_eV,new_drift_eV,max_position_difference_A,max_velocity_difference_A_per_fs,max_force_difference_eV_per_A,energy_difference_eV,old_capped_steps,new_capped_steps
340,17.000000000000107,-3.6582348094968036,-3.6582348094968036,-3.166859678316314e-05,-3.166859678316314e-05,0.0,0.0,0.0,0.0,0,0
350,17.500000000000114,-3.658245361396498,-3.658245361396498,-4.2220496477618497e-05,-4.2220496477618497e-05,0.0,0.0,0.0,0.0,0,0
360,18.00000000000012,-3.658263940951328,-3.658263940951328,-6.080005130737476e-05,-6.080005130737476e-05,0.0,0.0,0.0,0.0,0,0
370,18.500000000000128,-3.6582828900782927,-3.6582828900782927,-7.974917827224814e-05,-7.974917827224814e-05,0.0,0.0,0.0,0.0,0,0
380,19.000000000000135,-3.658600868174678,-3.658600868174678,-0.0003977272746573668,-0.0003977272746573668,0.0,0.0,0.0,0.0,0,0
390,19.500000000000142,-3.658401983175192,-3.658401983175192,-0.00019884227517152908,-0.00019884227517152908,0.0,0.0,0.0,0.0,0,0
400,20.00000000000015,-3.6581913707948033,-3.6581913707948033,1.177010521713484e-05,1.177010521713484e-05,0.0,0.0,0.0,0.0,0,0
410,20.500000000000156,-3.6582125138219275,-3.6582125138219275,-9.372921907058185e-06,-9.372921907058185e-06,0.0,0.0,0.0,0.0,0,0
420,21.000000000000163,-3.6584480593407673,-3.6584480593407673,-0.0002449184407469218,-0.0002449184407469218,0.0,0.0,0.0,0.0,0,0
430,21.50000000000017,-3.658601936909046,-3.658601936909046,-0.0003987960090254816,-0.0003987960090254816,0.0,0.0,0.0,0.0,0,0
440,22.000000000000178,-3.6582696730467523,-3.6582696730467523,-6.653214673191243e-05,-6.653214673191243e-05,0.0,0.0,0.0,0.0,0,0
450,22.500000000000185,-3.658250284637624,-3.658250284637624,-4.714373760350554e-05,-4.714373760350554e-05,0.0,0.0,0.0,0.0,0,0
460,23.000000000000192,-3.658232524473255,-3.658232524473255,-2.9383573234564864e-05,-2.9383573234564864e-05,0.0,0.0,0.0,0.0,0,0
470,23.5000000000002,-3.6582239349728565,-3.6582239349728565,-2.079407283606116e-05,-2.079407283606116e-05,0.0,0.0,0.0,0.0,0,0
480,24.000000000000206,-3.658228594409543,-3.658228594409543,-2.5453509522765927e-05,-2.5453509522765927e-05,0.0,0.0,0.0,0.0,0,0
