geometry_id,sample_kind,region,transfer_distance_angstrom,donor_distance_angstrom,qm_energy_eV,hstate_energy_eV,ablated_hstate_energy_eV,original_over_eV,ablated_over_eV,over_delta_eV,original_angle_eV,ablated_angle_eV,angle_delta_eV,oo_taper_sum,oo_directed_contacts,qm_relative_eV,hstate_relative_eV,ablated_hstate_relative_eV,hstate_residual_eV,ablated_residual_eV
water_dense_transfer_0016,dense_transfer_scan,transfer_microscope,1.4,1.0285714286,-4138.510302873076,-14.795642476173075,-14.795642476173075,0.9671364783872637,0.9671364783872637,0.0,0.47151636574882233,0.47151636574882233,0.0,0.0,2,0.6089251453677207,0.33936684631448344,0.33936684631448344,0.26955829905323725,0.26955829905323725
water_dense_transfer_0017,dense_transfer_scan,transfer_microscope,1.42,1.0285714286,-4138.5554243140605,-14.83449400707593,-14.83449400707593,0.551854378193703,0.551854378193703,0.0,0.4397931999418743,0.4397931999418743,0.0,0.0,2,0.5638037043836448,0.30051531541162824,0.30051531541162824,0.26328838897201656,0.26328838897201656
water_dense_transfer_0018,dense_transfer_scan,transfer_microscope,1.44,1.0285714286,-4138.598031232143,-14.880480607038969,-14.880480607038969,0.27565218253236146,0.27565218253236146,0.0,0.40978549830367456,0.40978549830367456,0.0,0.0,2,0.5211967863015161,0.2545287154485898,0.2545287154485898,0.2666680708529263,0.2666680708529263
water_dense_transfer_0019,dense_transfer_scan,transfer_microscope,1.46,1.0285714286,-4138.638147471282,-14.930462397254265,-14.930462397254265,0.1139043119771208,0.1139043119771208,0.0,0.38296434833055626,0.38296434833055626,0.0,0.0,2,0.4810805471624917,0.2045469252332932,0.2045469252332932,0.2765336219291985,0.2765336219291985
water_dense_transfer_0020,dense_transfer_scan,transfer_microscope,1.48,1.0285714286,-4138.675826062988,-14.977394087484917,-14.977394087484917,0.03490220468231871,0.03490220468231871,0.0,0.36074259480251175,0.36074259480251175,0.0,0.0,2,0.44340195545646566,0.15761523500264119,0.15761523500264119,0.28578672045382447,0.28578672045382447
water_dense_transfer_0021,dense_transfer_scan,transfer_microscope,1.5,1.0285714286,-4138.7112036449325,-15.013498561270788,-15.013498561270788,0.006123387260300672,0.006123387260300672,0.0,0.34435617367862625,0.34435617367862625,0.0,0.0,2,0.40802437351158005,0.12151076121677029,0.12151076121677029,0.28651361229480976,0.28651361229480976
water_dense_transfer_0022,dense_transfer_scan,transfer_microscope,1.52,1.0285714286,-4138.744332962799,-15.034122974778452,-15.034122974778452,0.00024257723605042146,0.00024257723605042146,0.0,0.33475241350186663,0.33475241350186663,0.0,0.0,2,0.3748950556455384,0.10088634770910687,0.10088634770910687,0.2740087079364315,0.2740087079364315
water_dense_transfer_0023,dense_transfer_scan,transfer_microscope,1.54,1.0285714286,-4138.775243356848,-15.039030186499849,-15.039030186499849,0.0,0.0,0.0,0.3323495368491969,0.3323495368491969,0.0,0.0,2,0.3439846615965507,0.0959791359877098,0.0959791359877098,0.24800552560884093,0.24800552560884093
water_dense_transfer_0024,dense_transfer_scan,transfer_microscope,1.56,1.0285714286,-4138.804090220661,-15.039030186499849,-15.039030186499849,0.0,0.0,0.0,0.3323495368491969,0.3323495368491969,0.0,0.0,2,0.31513779778288153,0.0959791359877098,0.0959791359877098,0.21915866179517174,0.21915866179517174
water_dense_transfer_0025,dense_transfer_scan,transfer_microscope,1.58,1.0285714286,-4138.830993008928,-15.039030186499849,-15.039030186499849,0.0,0.0,0.0,0.3323495368491969,0.3323495368491969,0.0,0.0,2,0.2882350095160291,0.0959791359877098,0.0959791359877098,0.1922558735283193,0.1922558735283193
water_dense_transfer_0026,dense_transfer_scan,transfer_microscope,1.6,1.0285714286,-4138.855954871499,-15.039030186499849,-15.039030186499849,0.0,0.0,0.0,0.3323495368491969,0.3323495368491969,0.0,0.0,2,0.26327314694481174,0.0959791359877098,0.0959791359877098,0.16729401095710195,0.16729401095710195
water_dense_transfer_0027,dense_transfer_scan,transfer_microscope,1.62,1.0285714286,-4138.879066206727,-15.039030186499849,-15.039030186499849,0.0,0.0,0.0,0.3323495368491969,0.3323495368491969,0.0,0.0,2,0.24016181171737117,0.0959791359877098,0.0959791359877098,0.14418267572966137,0.14418267572966137
water_dense_transfer_0028,dense_transfer_scan,transfer_microscope,1.64,1.0285714286,-4138.900530246584,-15.039030186499849,-15.039030186499849,0.0,0.0,0.0,0.3323495368491969,0.3323495368491969,0.0,0.0,2,0.21869777186020656,0.0959791359877098,0.0959791359877098,0.12271863587249676,0.12271863587249676
