geometry_id,system,sample_kind,region,transfer_distance_angstrom,donor_distance_angstrom,qm_energy_eV,hstate_energy_eV,hard_valence_energy_eV,over_delta_eV,angle_delta_eV,original_heavy_over_eV,selected_heavy_over_eV,original_heavy_angle_eV,selected_heavy_angle_eV,qm_relative_eV,hstate_relative_eV,hard_valence_relative_eV,hstate_residual_eV,hard_valence_residual_eV
h3_dense_transfer_0008,h3,dense_transfer_scan,transfer_microscope,1.0,0.8428571429,-45.162448987367426,-3.97943478165497,-3.97943478165497,0.0,0.0,0.0,0.0,0.0,0.0,0.3668466311026961,0.5331927915429362,0.5331927915429362,-0.1663461604402401,-0.1663461604402401
h3_dense_transfer_0009,h3,dense_transfer_scan,transfer_microscope,1.02,0.8428571429,-45.1716826943268,-4.001992713179578,-4.001992713179578,0.0,0.0,0.0,0.0,0.0,0.0,0.357612924143325,0.5106348600183281,0.5106348600183281,-0.15302193587500312,-0.15302193587500312
h3_dense_transfer_0010,h3,dense_transfer_scan,transfer_microscope,1.04,0.8428571429,-45.17931777514866,-4.029867910655264,-4.029867910655264,0.0,0.0,0.0,0.0,0.0,0.0,0.34997784332146153,0.4827596625426418,0.4827596625426418,-0.13278181922118026,-0.13278181922118026
h3_dense_transfer_0011,h3,dense_transfer_scan,transfer_microscope,1.06,0.8428571429,-45.185657744681286,-4.064635481716023,-4.064635481716023,0.0,0.0,0.0,0.0,0.0,0.0,0.34363787378883615,0.44799209148188357,0.44799209148188357,-0.10435421769304742,-0.10435421769304742
h3_dense_transfer_0012,h3,dense_transfer_scan,transfer_microscope,1.08,0.8428571429,-45.19096242868305,-4.108906799055033,-4.108906799055033,0.0,0.0,0.0,0.0,0.0,0.0,0.33833318978707183,0.4037207741428732,0.4037207741428732,-0.06538758435580139,-0.06538758435580139
h3_dense_transfer_0013,h3,dense_transfer_scan,transfer_microscope,1.1,0.8428571429,-45.19545245440071,-4.165219284981884,-4.165219284981884,0.0,0.0,0.0,0.0,0.0,0.0,0.33384316406941394,0.3474082882160223,0.3474082882160223,-0.013565124146608376,-0.013565124146608376
h3_dense_transfer_0014,h3,dense_transfer_scan,transfer_microscope,1.12,0.8428571429,-45.19931424163144,-4.230916619070232,-4.230916619070232,0.0,0.0,0.0,0.0,0.0,0.0,0.32998137683868123,0.2817109541276741,0.2817109541276741,0.04827042271100712,0.04827042271100712
h3_dense_transfer_0015,h3,dense_transfer_scan,transfer_microscope,1.14,0.8428571429,-45.20270507121753,-4.294370548467185,-4.294370548467185,0.0,0.0,0.0,0.0,0.0,0.0,0.32659054725259296,0.21825702473072095,0.21825702473072095,0.108333522521872,0.108333522521872
h3_dense_transfer_0016,h3,dense_transfer_scan,transfer_microscope,1.16,0.8428571429,-45.20575590331278,-4.340177079261208,-4.340177079261208,0.0,0.0,0.0,0.0,0.0,0.0,0.32353971515734514,0.1724504939366982,0.1724504939366982,0.15108922122064694,0.15108922122064694
h3_dense_transfer_0017,h3,dense_transfer_scan,transfer_microscope,1.18,0.8428571429,-45.20857301219492,-4.360268221494962,-4.360268221494962,0.0,0.0,0.0,0.0,0.0,0.0,0.3207226062752042,0.1523593517029438,0.1523593517029438,0.16836325457226042,0.16836325457226042
h3_dense_transfer_0018,h3,dense_transfer_scan,transfer_microscope,1.2,0.8428571429,-45.21124246183231,-4.36141102726101,-4.36141102726101,0.0,0.0,0.0,0.0,0.0,0.0,0.3180531566378093,0.15121654593689637,0.15121654593689637,0.16683661070091294,0.16683661070091294
h3_dense_transfer_0019,h3,dense_transfer_scan,transfer_microscope,1.22,0.8428571429,-45.21383571398944,-4.36141102726101,-4.36141102726101,0.0,0.0,0.0,0.0,0.0,0.0,0.31545990448068295,0.15121654593689637,0.15121654593689637,0.16424335854378658,0.16424335854378658
h3_dense_transfer_0020,h3,dense_transfer_scan,transfer_microscope,1.24,0.8428571429,-45.216410269244165,-4.36141102726101,-4.36141102726101,0.0,0.0,0.0,0.0,0.0,0.0,0.312885349225958,0.15121654593689637,0.15121654593689637,0.16166880328906164,0.16166880328906164
h3_dense_transfer_0021,h3,dense_transfer_scan,transfer_microscope,1.26,0.8428571429,-45.21900736177095,-4.36141102726101,-4.36141102726101,0.0,0.0,0.0,0.0,0.0,0.0,0.3102882566991738,0.15121654593689637,0.15121654593689637,0.15907171076227744,0.15907171076227744
h3_dense_transfer_0022,h3,dense_transfer_scan,transfer_microscope,1.28,0.8428571429,-45.22165537340447,-4.36141102726101,-4.36141102726101,0.0,0.0,0.0,0.0,0.0,0.0,0.3076402450656559,0.15121654593689637,0.15121654593689637,0.15642369912875953,0.15642369912875953
water_reactant_reference_0000,water,reactant_reference,reactant_reference,5.0,0.96,-4139.119228018444,-15.135009322487559,-15.135009322487559,0.0,0.0,0.0,0.0,0.3323495368491969,0.3323495368491969,0.0,0.0,0.0,0.0,0.0
water_product_reference_0000,water,product_reference,product_reference,0.96,5.0,-4139.119228018612,-15.135009322487559,-15.135009322487559,0.0,0.0,0.0,0.0,0.3323495368491975,0.3323495368491975,-1.6825651982799172e-10,0.0,0.0,-1.6825651982799172e-10,-1.6825651982799172e-10
water_dense_transfer_0000,water,dense_transfer_scan,transfer_microscope,1.08,1.0285714286,-4137.8034006296875,-6.04843901732192,-13.896295506231258,-3.578584763084658,-4.26927172582468,3.578584763084658,0.0,4.933970799523074,0.6646990736983934,1.3158273887565883,9.086570305165639,1.2387138162563005,-7.77074291640905,0.07711357250028783
water_dense_transfer_0001,water,dense_transfer_scan,transfer_microscope,1.1,1.0285714286,-4137.898642239152,-7.5173027152398095,-13.980392187220964,-2.7326891290151365,-3.7304003429660173,2.7326891290151365,0.0,4.395099416664411,0.6646990736983934,1.220585779292378,7.617706607247749,1.1546171352665944,-6.397120827955371,0.06596864402578362
water_dense_transfer_0002,water,dense_transfer_scan,transfer_microscope,1.12,1.0285714286,-4137.984025472869,-8.840185393754268,-14.06251272250311,-2.0140540794233854,-3.208273249325457,2.0140540794233854,0.0,3.87297232302385,0.6646990736983934,1.1352025455753392,6.29482392873329,1.072496599984449,-5.159621383157951,0.06270594559089027
water_dense_transfer_0003,water,dense_transfer_scan,transfer_microscope,1.14,1.0285714286,-4138.060804366496,-10.010928132895344,-14.14255850165323,-1.4243047357908427,-2.707325632967043,1.4243047357908427,0.0,3.3720247066654365,0.6646990736983934,1.0584236519480328,5.124081189592214,0.9924508208343283,-4.0656575376441815,0.06597283111370444
water_dense_transfer_0004,water,dense_transfer_scan,transfer_microscope,1.16,1.0285714286,-4138.130073393572,-11.029362714880072,-14.22041721869269,-0.9588920022660814,-2.2321625015465365,0.9588920022660814,0.0,2.8968615752449303,0.6646990736983938,0.9891546248718441,4.105646607607486,0.9145921037948685,-3.116491982735642,0.07456252107697559
water_dense_transfer_0005,water,dense_transfer_scan,transfer_microscope,1.18,1.0285714286,-4138.192784040764,-11.900276894193915,-14.29598443072999,-0.6079425089455364,-1.7877650275905377,0.6079425089455364,0.0,2.4524641012889314,0.6646990736983938,0.9264439776798099,3.2347324282936434,0.8390248917575693,-2.3082884506138335,0.08741908592224057
water_dense_transfer_0006,water,dense_transfer_scan,transfer_microscope,1.2,1.0285714286,-4138.249761842807,-12.632212094035864,-14.369172835922495,-0.35739278573759836,-1.3795679561490313,0.35739278573759836,0.0,2.0442670298474246,0.6646990736983934,0.8694661756371715,2.502797228451694,0.765836486565064,-1.6333310528145226,0.10362968907210757
water_dense_transfer_0007,water,dense_transfer_scan,transfer_microscope,1.22,1.0285714286,-4138.30172483687,-13.25052035306213,-14.435488402454416,-0.1759246671946541,-1.0090433821976315,0.1759246671946541,0.0,1.67164192824844,0.6625985460508087,0.817503181574466,1.884488969425428,0.6995209200331427,-1.066985787850962,0.1179822615413233
water_dense_transfer_0008,water,dense_transfer_scan,transfer_microscope,1.24,1.0285714286,-4138.349297846798,-13.752785500261021,-14.492333709872877,-0.05721521142766421,-0.682332998184191,0.05721521142766421,0.0,1.3386263611921931,0.6562933630080021,0.769930171645683,1.3822238222265373,0.6426756126146813,-0.6122936505808543,0.1272545590310017
water_dense_transfer_0009,water,dense_transfer_scan,transfer_microscope,1.26,1.0285714286,-4138.393021556673,-14.112548442236886,-14.54238163703807,-0.016815025321536056,-0.4130181694796464,0.016815025321536056,0.0,1.0588002443970832,0.6457820749174368,0.7262064617707438,1.022460880250673,0.5926276854494894,-0.29625441847992917,0.13357877632125437
water_dense_transfer_0010,water,dense_transfer_scan,transfer_microscope,1.28,1.0285714286,-4138.433356238197,-14.3718830774005,-14.587591306875229,-0.004588065790515798,-0.21112016368421194,0.004588065790515798,0.0,0.8422124253664084,0.6310922616821965,0.6858717802469982,0.763126245087058,0.5474180156123296,-0.07725446484005971,0.13845376463466863
water_dense_transfer_0011,water,dense_transfer_scan,transfer_microscope,1.3,1.0285714286,-4138.47067864717,-14.551369786267177,-14.628968493048989,-0.0006464832602808369,-0.07695222352152997,0.0006464832602808369,0.0,0.6892736719277583,0.6123214484062284,0.6485493712743846,0.5836395362203817,0.5060408294385699,0.06490983505400294,0.14250854183581474
water_dense_transfer_0012,water,dense_transfer_scan,transfer_microscope,1.32,1.0285714286,-4138.505301404755,-14.657025571099016,-14.66686917911515,-1.136383329617231e-05,-0.00983224418283779,1.136383329617231e-05,0.0,0.599518611818803,0.5896863676359652,0.6139266136888182,0.47798375138854254,0.46814014337240906,0.13594286230027564,0.14578647031640912
water_dense_transfer_0013,water,dense_transfer_scan,transfer_microscope,1.34,1.0285714286,-4138.359175758805,-14.70149631550484,-14.70149631550484,0.0,0.0,0.0,0.0,0.563573000156685,0.563573000156685,0.7600522596394512,0.433513006982718,0.433513006982718,0.3265392526567332,0.3265392526567332
water_dense_transfer_0014,water,dense_transfer_scan,transfer_microscope,1.36,1.0285714286,-4138.41223143956,-14.732707334229936,-14.732707334229936,0.0,0.0,0.0,0.0,0.5345785824402,0.5345785824402,0.7069965788841728,0.40230198825762287,0.40230198825762287,0.3046945906265499,0.3046945906265499
