geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,base_bond_energy_eV,base_overcoord_energy_eV,base_angle_energy_eV,component_sum_error_eV,base_force_rms_eV_per_angstrom,base_force_max_eV_per_angstrom
h3_grid_0008,h3,train,grid,off_path,0.8428571429,0.7,-1.0625674084445031,-8.840567408444503,7.778,0.0,-4.440892098500626e-16,3.1199916010630493,4.373809005623942
h3_grid_0009,h3,train,grid,off_path,0.8428571429,0.8428571429,-0.9448220547910973,-8.722822054791097,7.778,0.0,0.0,2.196993998322112,2.6907571328518802
h3_grid_0010,h3,train,grid,transfer_region,0.8428571429,0.9857142857,-1.7374264383604514,-7.735109923136582,5.997683484776131,0.0,2.220446049250313e-16,29.851708561314428,37.83176816012902
h3_grid_0011,h3,train,grid,transfer_region,0.8428571429,1.1285714286,-4.630521729184197,-4.737415369609121,0.10689364042492333,0.0,0.0,4.186945107053533,5.913270151525605
h3_grid_0012,h3,train,grid,off_path,0.8428571429,1.2714285714,-4.36141102726101,-4.36141102726101,0.0,0.0,0.0,2.1969939990804512,2.6907571328518802
h3_grid_0013,h3,train,grid,reactant_like,0.8428571429,1.4142857143,-4.36141102726101,-4.36141102726101,0.0,0.0,0.0,2.1969939990804512,2.6907571328518802
h3_grid_0014,h3,train,grid,reactant_like,0.8428571429,1.5571428571,-4.36141102726101,-4.36141102726101,0.0,0.0,0.0,2.1969939990804512,2.6907571328518802
h3_grid_0015,h3,train,grid,reactant_like,0.8428571429,1.7,-4.36141102726101,-4.36141102726101,0.0,0.0,0.0,2.1969939990804512,2.6907571328518802
h3_grid_0016,h3,train,grid,off_path,0.9857142857,0.7,-1.8551717922829312,-7.852855277059067,5.997683484776136,0.0,0.0,28.03068765008678,35.141011027277116
h3_grid_0017,h3,train,grid,off_path,0.9857142857,0.8428571429,-1.7374264383604485,-7.735109923136584,5.997683484776136,0.0,8.881784197001252e-16,29.851708561314407,37.831768160129
h3_grid_0018,h3,train,grid,transfer_region,0.9857142857,0.9857142857,-2.2989807306299275,-6.747397791751148,4.44841706112122,0.0,0.0,22.5620537022864,27.63275955993688
h3_grid_0019,h3,train,grid,transfer_region,0.9857142857,1.1285714286,-3.748566449407244,-3.748566449407244,0.0,0.0,0.0,14.469868870975109,19.93017235496518
h3_grid_0020,h3,train,grid,off_path,0.9857142857,1.2714285714,-3.3247077827859117,-3.3247077827859117,0.0,0.0,0.0,16.05756997833019,19.66642647797145
h3_grid_0021,h3,train,grid,off_path,0.9857142857,1.4142857143,-3.3247077827859117,-3.3247077827859117,0.0,0.0,0.0,16.05756997833019,19.66642647797145
h3_grid_0022,h3,train,grid,off_path,0.9857142857,1.5571428571,-3.3247077827859117,-3.3247077827859117,0.0,0.0,0.0,16.05756997833019,19.66642647797145
h3_grid_0023,h3,train,grid,off_path,0.9857142857,1.7,-3.3247077827859117,-3.3247077827859117,0.0,0.0,0.0,16.05756997833019,19.66642647797145
h3_grid_0024,h3,train,grid,off_path,1.1285714286,0.7,-4.748267082515355,-4.855160722230062,0.1068936397147078,0.0,8.881784197001252e-16,5.642208081990095,7.596322036630678
h3_grid_0025,h3,train,grid,off_path,1.1285714286,0.8428571429,-4.630521728861947,-4.737415368576654,0.1068936397147078,0.0,8.881784197001252e-16,4.186945116102263,5.9132701638586305
h3_grid_0026,h3,train,grid,transfer_region,1.1285714286,0.9857142857,-3.748566449407246,-3.748566449407246,0.0,0.0,0.0,14.469868870975096,19.93017235496516
h3_grid_0027,h3,train,grid,transfer_region,1.1285714286,1.1285714286,-0.7509697950822429,-0.7509697950822429,0.0,0.0,0.0,10.586928282194911,12.966286127903608
