step,time_fs,potential_eV,kinetic_eV,total_eV,energy_drift_eV,component_count,largest_component_edges,capped_steps,rebuild_count
180,8.999999999999993,-8.259964146671217,3.2225228801146533,-5.037441266556565,0.00015317326039721024,2,2,0,4
190,9.5,-8.181724452032203,3.1442899391552324,-5.03743451287697,0.00015992693999145047,2,2,0,4
200,10.000000000000007,-8.1618113090816,3.12437210479649,-5.03743920428511,0.00015523553185214922,2,2,0,5
210,10.500000000000014,-8.194382119347956,3.1569301216607433,-5.037451997687214,0.00014244212974823256,2,2,0,5
220,11.000000000000021,-8.262548247315085,3.2250874077233957,-5.037460839591689,0.00013360022527297843,2,2,0,5
230,11.500000000000028,-8.355001153905821,3.3175428694305813,-5.03745828447524,0.00013615534172206623,2,2,0,5
240,12.000000000000036,-8.474377975977506,3.4368255094134783,-5.037552466564027,4.1973252934646155e-05,2,2,0,6
250,12.500000000000043,-8.459908099243554,3.422322584550373,-5.037585514693181,8.925123780478827e-06,2,2,0,6
260,13.00000000000005,-8.250837361309058,3.213485823014567,-5.037351538294491,0.00024290152247097296,2,2,0,6
270,13.500000000000057,-8.161217438015111,3.1239594159956616,-5.037258022019449,0.00033641779751292233,2,2,0,7
280,14.000000000000064,-8.32749076576125,3.290096442504819,-5.03739432325643,0.000200116560531427,2,2,0,7
290,14.500000000000071,-8.546376959803952,3.5087417363610824,-5.037635223442869,-4.07836259075367e-05,2,2,0,7
300,15.000000000000078,-8.49710885669219,3.4596985160269833,-5.037410340665207,0.00018409915175521263,2,2,0,8
310,15.500000000000085,-8.316041755618198,3.2786579027278857,-5.037383852890311,0.00021058692665043566,2,2,0,8
320,16.000000000000092,-8.172058961009611,3.1346975986114116,-5.037361362398199,0.00023307741876266164,2,2,0,8
330,16.5000000000001,-8.100814565072117,3.063463973475776,-5.037350591596341,0.00024384822062106792,2,2,0,9
340,17.000000000000107,-8.118907346818794,3.081549663112504,-5.03735768370629,0.00023675611067197622,2,2,0,9
350,17.500000000000114,-8.21535842252954,3.1779765904617276,-5.037381832067813,0.0002126077491491074,2,2,0,9
360,18.00000000000012,-8.353809909505404,3.3163978422613667,-5.037412067244038,0.0001823725729241943,2,2,0,10
370,18.500000000000128,-8.489542127487315,3.4521115287434725,-5.037430598743843,0.0001638410731192863,2,2,0,10
380,19.000000000000135,-8.551310460651555,3.5136029974742065,-5.037707463177348,-0.00011302336038632177,2,2,0,10
390,19.500000000000142,-8.333132473066618,3.2956465471997647,-5.037485925866854,0.0001085139501082466,2,2,0,10
