x_A,hstate_energy_eV,hard_energy_eV,smooth_energy_eV,oo_taper_01,oo_taper_10,hard_oo_membership_01,hard_oo_membership_10,smooth_oo_membership_01,smooth_oo_membership_10,hard_o0_h1,hard_o0_h2,hard_o1_h1,hard_o1_h2,smooth_o0_h1,smooth_o0_h2,smooth_o1_h1,smooth_o1_h2,hard_over_delta_eV,hard_angle_delta_eV,smooth_over_delta_eV,smooth_angle_delta_eV
1.09,-6.800476257686783,-13.938586164958412,-13.880242003272885,0.4492850618554701,0.4492850618554701,0.0,0.0,0.014779434780051129,0.017800351280895972,1.0,1.0,1.0,1.0,0.9935420547289531,0.9916785104909958,0.9931749430225709,0.9890247056965331,-3.140088531241505,-3.998021376030124,-3.140088531241505,-3.9396772143445964
1.091,-6.873769754948588,-13.942788686261387,-13.88523355847746,0.4462590069972512,0.4462590069972512,0.0,0.0,0.014664841856492321,0.017720045795057912,1.0,1.0,1.0,1.0,0.9935915880295613,0.9917435701139464,0.9932194028082224,0.9890605513967199,-3.097932308229942,-3.971086623082857,-3.097932308229942,-3.9135314952989306
1.092,-6.9467091930124125,-13.94698635825665,-13.890217972016599,0.44323494228056254,0.44323494228056254,0.0,0.0,0.01454966033272491,0.01763846666911716,1.0,1.0,1.0,1.0,0.9936413873963107,0.9918089522709646,0.9932641892957103,0.9890973440351728,-3.056088421893302,-3.9441887433509355,-3.056088421893302,-3.8874203571108836
1.093,-7.019293029782519,-13.951179173579943,-13.895195151188844,0.44021297969285483,0.44021297969285483,0.0,0.0,0.014433895340647235,0.017555608139464083,1.0,1.0,1.0,1.0,0.9936914506772365,0.9918746539821162,0.9933093023193469,0.9891350895411892,-3.0145578442753993,-3.917328299522025,-3.0145578442753993,-3.861344277130926
1.094,-7.091519767160399,-13.95536712442559,-13.900165002085956,0.43719323114373176,0.43719323114373176,0.0,0.0,0.014317552373181625,0.017471464797428414,1.0,1.0,1.0,1.0,0.9937417755612542,0.9919406720655644,0.993354741579921,0.9891737936226506,-2.9733415046434386,-3.890505852621752,-2.9733415046434386,-3.8353037302821162
1.095,-7.163387950894743,-13.95955020256462,-13.905127429628145,0.4341758084608059,0.4341758084608059,0.0,0.0,0.014200637292284001,0.017386031604792983,1.0,1.0,1.0,1.0,0.993792359574548,0.9920070031331679,0.9934005066401315,0.9892134617550755,-2.9324402895437576,-3.863721962126119,-2.9324402895437576,-3.8092991891896455
1.096,-7.234896170425138,-13.963728399362495,-13.91008233760034,0.4311608233855617,0.4311608233855617,0.0,0.0,0.014083156336892555,0.017299303909572798,1.0,1.0,1.0,1.0,0.9938432000769869,0.9920736435861205,0.9934465969199684,0.9892540991704586,-2.8918550428638516,-3.8369771860735042,-2.8918550428638516,-3.783331124311349
1.097,-7.3060430587201965,-13.967901705796555,-13.915029628689581,0.4281483875692098,0.4281483875692098,0.0,0.0,0.013965116130798916,0.01721127746205049,1.0,1.0,1.0,1.0,0.9938942942585687,0.9921405896106325,0.9934930116920512,0.9892957108458983,-2.851586565900346,-3.8102720811760133,-2.851586565900346,-3.757400004069038
1.098,-7.3768272921092155,-13.972070112472958,-13.919969204523426,0.42513861256855695,0.42513861256855695,0.0,0.0,0.013846523690429217,0.017121948431055797,1.0,1.0,1.0,1.0,0.9939456391359041,0.9922078371736666,0.9935397500769229,0.9893383014920214,-2.811635617433339,-3.783607202930403,-2.811635617433339,-3.731506294980872
1.099,-7.447247590108105,-13.976233609643312,-13.924900965709575,0.42213160984187914,0.42213160984187914,0.0,0.0,0.01372738643251762,0.017031313420479664,1.0,1.0,1.0,1.0,0.9939972315487451,0.9922753820187373,0.9935868110383108,0.9893818755412097,-2.7720029138068445,-3.756983105728363,-2.7720029138068445,-3.705650461794626
1.1,-7.5173027152398095,-13.980392187220964,-13.929824811876689,0.41912749074478023,0.41912749074478023,0.0,0.0,0.013607712181657076,0.016939369486006647,1.0,1.0,1.0,1.0,0.9940490681565642,0.9923432196617786,0.993634193378355,0.9894264371356382,-2.7326891290151365,-3.7304003429660173,-2.7326891290151365,-3.679832967621741
1.101,-7.586991472848277,-13.984545834796837,-13.934740641716393,0.41612636652608637,0.41612636652608637,0.0,0.0,0.01348750917771091,0.016846114152055763,1.0,1.0,1.0,1.0,0.9941011454351942,0.9924113453870945,0.993681895732813,0.9894719901151311,-2.6936948947955592,-3.7038594671529994,-2.6936948947955592,-3.654054274072557
1.102,-7.6563127109074065,-13.988694541654965,-13.93964835302662,0.4131283483237119,0.4131283483237119,0.0,0.0,0.01336678608306603,0.016751545428910816,1.0,1.0,1.0,1.0,0.9941534596735352,0.9924797542433987,0.993729916566244,0.9895185380048451,-2.65502080072708,-3.677361030020478,-2.65502080072708,-3.6283148413921333
1.103,-7.725265319824047,-13.992838296787664,-13.944547842756242,0.41013354716054895,0.41013354716054895,0.0,0.0,0.013245551989712064,0.016655661830025065,1.0,1.0,1.0,1.0,0.9942060069703345,0.9925484410399534,0.9937782541671828,0.9895660840027921,-2.6166673943350243,-3.6509055826285914,-2.6166673943350243,-3.6026151285971704
1.104,-7.793848232235302,-13.99697708891028,-13.949439007051033,0.40714207394035945,0.40714207394035945,0.0,0.0,0.013123816426125983,0.01655846238948399,1.0,1.0,1.0,1.0,0.9942587832310537,0.9926174003428205,0.9938269066433071,0.9896146309672089,-2.578635181201944,-3.6244936754730332,-2.578635181201944,-3.576955593613787
1.105,-7.862060422800773,-14.001110906475708,-13.954321741301126,0.4041540394436614,0.4041540394436614,0.0,0.0,0.013001589363943609,0.016459946679603356,1.0,1.0,1.0,1.0,0.9943117841648241,0.9926866264712323,0.9938758719166075,0.9896641814037891,-2.540924625084266,-3.5981258585906684,-2.540924625084266,-3.551336693416086
1.106,-7.9299009079890155,-14.005239737688417,-13.959195940189773,0.4011695543236288,0.4011695543236288,0.0,0.0,0.012878881224398397,0.01636011482864613,1.0,1.0,1.0,1.0,0.9943650052815063,0.9927561134940955,0.9939251477185671,0.9897147374527867,-2.5035361480351,-3.5718026816643027,-2.5035361480351,-3.5257588841656586
