geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,qm_energy_eV,base_reference_eV,qm_reference_eV,base_relative_eV,qm_relative_eV,residual_target_eV,base_force_max_eV_per_angstrom
h3_reactant_reference_0000,h3,train,reactant_reference,reactant_reference,0.74144,5.0,-4.512627573197906,-45.52929561847011,-4.512627573197906,-45.52929561847011,0.0,0.0,0.0,0.0
h3_product_reference_0000,h3,train,product_reference,product_reference,5.0,0.74144,-4.512627573197906,-45.52929561847188,-4.512627573197906,-45.52929561847011,0.0,-1.7692514120426495e-12,-1.7692514120426495e-12,3.552713678800501e-15
h3_grid_0000,h3,train,grid,off_path,0.7,0.7,-1.1803127623669853,-43.63062505890251,-4.512627573197906,-45.52929561847011,3.332314810830921,1.8986705595675986,-1.4336442512633223,1.6830518727720618
h3_grid_0001,h3,train,grid,off_path,0.7,0.8428571429,-1.0625674084445031,-44.41261466223006,-4.512627573197906,-45.52929561847011,3.450060164753403,1.116680956240046,-2.333379208513357,4.373809005623942
h3_grid_0002,h3,train,grid,off_path,0.7,0.9857142857,-1.8551717922829345,-44.770373707212705,-4.512627573197906,-45.52929561847011,2.6574557809149715,0.7589219112574028,-1.8985338696575687,35.141011027277145
h3_grid_0003,h3,train,grid,off_path,0.7,1.1285714286,-4.74826708251535,-44.960198471682574,-4.512627573197906,-45.52929561847011,-0.23563950931744415,0.5690971467875343,0.8047366561049785,7.596322036630713
h3_grid_0004,h3,train,grid,off_path,0.7,1.2714285714,-4.4791563811834925,-45.08093426962749,-4.512627573197906,-45.52929561847011,0.03347119201441373,0.44836134884261725,0.4148901568282035,1.6830518727720618
h3_grid_0005,h3,train,grid,reactant_like,0.7,1.4142857143,-4.4791563811834925,-45.168771140058254,-4.512627573197906,-45.52929561847011,0.03347119201441373,0.360524478411854,0.32705328639744025,1.6830518727720618
h3_grid_0006,h3,train,grid,reactant_like,0.7,1.5571428571,-4.4791563811834925,-45.23665448526603,-4.512627573197906,-45.52929561847011,0.03347119201441373,0.2926411332040786,0.25916994118966485,1.6830518727720618
h3_grid_0007,h3,train,grid,reactant_like,0.7,1.7,-4.4791563811834925,-45.28999699897768,-4.512627573197906,-45.52929561847011,0.03347119201441373,0.23929861949243048,0.20582742747801674,1.6830518727720618
h3_grid_0008,h3,train,grid,off_path,0.8428571429,0.7,-1.0625674084445031,-44.412614662272695,-4.512627573197906,-45.52929561847011,3.450060164753403,1.1166809561974134,-2.3333792085559897,4.373809005623942
h3_grid_0009,h3,train,grid,off_path,0.8428571429,0.8428571429,-0.9448220547910973,-44.98167487319245,-4.512627573197906,-45.52929561847011,3.567805518406809,0.5476207452776549,-3.020184773129154,2.6907571328518802
