gap_A,bridge_taper,energy_eV,dE_dgap_autograd_eV_per_A,component_count,largest_component_edges,dE_dgap_finite_difference_eV_per_A,gradient_error_eV_per_A
1.1676373333333334,0.012712653258284135,-4.476274117435364,-1.1580975442757335,1,5,-1.1581086297899499,1.108551421635795e-05
1.1679706666666667,0.01226453251829418,-4.476656382744108,-1.135505408506841,1,5,-1.1355165235521631,1.1115045322140915e-05
1.168304,0.011824354198718467,-4.477031128451065,-1.1129799629781036,1,5,-1.1129911072852554,1.1144307151766952e-05
1.1686373333333333,0.011392125467543646,-4.477398376815631,-1.0905213832554015,1,5,-1.0905325565581194,1.1173302717937261e-05
1.1689706666666666,0.01096785336330286,-4.477758150155437,-1.0681298432694604,1,5,-1.0681410452929652,1.1202023504797154e-05
1.169304,0.010551544794961343,-4.478110470845826,-1.0458055153518178,1,5,-1.0458167458315848,1.123047976703262e-05
1.1696373333333334,0.01014320654180384,-4.478455361319325,-1.023548570270167,1,5,-1.0235598289554053,1.1258685238324517e-05
1.1699706666666667,0.009742845253324806,-4.47879284406513,-1.0013591772622696,1,5,-1.0013704639063585,1.1286644088892572e-05
1.170304,0.009350467449118938,-4.479122941628596,-0.9792375040679282,1,5,-0.9792488184242577,1.1314356329505948e-05
1.1706373333333333,0.008966079518775871,-4.479445676610746,-0.9571837169608024,1,5,-0.9571950587910993,1.1341830296940358e-05
1.1709706666666666,0.008589687721775874,-4.47976107166779,-0.9351979807775397,1,5,-0.935209349841384,1.1369063844357541e-05
1.1713040000000001,0.008221298187387649,-4.480069149510641,-0.9132804589462733,1,5,-0.9132918550196674,1.1396073394065453e-05
1.1716373333333334,0.007860916914569804,-4.48036993290447,-0.891431313512884,1,5,-0.8914427363683068,1.142285542288235e-05
1.1719706666666667,0.007508549771871098,-4.480663444668219,-0.8696507051670128,1,5,-0.8696621545794939,1.144941248110154e-05
1.172304,0.007164202497336458,-4.480949707674189,-0.8479387932653975,1,5,-0.847950269022051,1.1475756653500646e-05
1.1726373333333333,0.0068278806984130025,-4.481228744847567,-0.8262957358542913,1,5,-0.8263072377335612,1.150187926990398e-05
1.1729706666666666,0.0064995898518586115,-4.481500579166012,-0.8047216896904086,1,5,-0.8047332174859532,1.1527795544585828e-05
1.173304,0.006179335303653166,-4.481765233659225,-0.7832168102597343,1,5,-0.7832283637625922,1.155350285786394e-05
1.1736373333333334,0.005867122268910729,-4.48202273140852,-0.7617812517959983,1,5,-0.761792830797966,1.1579001967687574e-05
1.1739706666666667,0.0055629558317960015,-4.482273095546423,-0.7404151672964616,1,5,-0.7404267715936647,1.160429720303835e-05
1.174304,0.005266840945439777,-4.482516349256249,-0.7191187085368878,1,5,-0.7191303379251127,1.1629388224965176e-05
1.1746373333333333,0.004978782431859452,-4.482752515771707,-0.6978920260842472,1,5,-0.697903680372113,1.1654287865869861e-05
1.1749706666666666,0.004698784981880311,-4.482981618376497,-0.6767352693091642,1,5,-0.6767469482922995,1.1678983135365861e-05
1.1753040000000001,0.004426853155058752,-4.483203680403902,-0.6556485863955572,1,5,-0.6556602898795875,1.1703484030234357e-05
1.1756373333333334,0.004162991379608794,-4.483418725236417,-0.634632124349487,1,5,-0.634643852140363,1.1727790875992739e-05
1.1759706666666667,0.003907203952329075,-4.483626776305329,-0.6136860290064128,1,5,-0.6136977809082077,1.1751901794920805e-05
1.176304,0.0036594950385333558,-4.483827857090356,-0.5928104450364646,1,5,-0.592822220859611,1.1775823146376041e-05
1.1766373333333333,0.0034198686719827953,-4.484021991119235,-0.5720055159493764,1,5,-0.5720173154944516,1.1799545075130702e-05
1.1769706666666666,0.0031883287548198913,-4.484209201967352,-0.551271384096907,1,5,-0.5512832071708548,1.1823073947758722e-05
1.177304,0.0029648790575053097,-4.484389513257349,-0.530608190673922,1,5,-0.5306200370903608,1.1846416438809904e-05
1.1776373333333334,0.0027495232187561003,-4.484562948658746,-0.5100160757190295,1,5,-0.5100279452879803,1.186956895082858e-05
1.1779706666666667,0.0025422647454870773,-4.484729531887541,-0.4894951781127208,1,5,-0.48950707063127713,1.189251855632234e-05
1.178304,0.0023431070127529763,-4.484889286705833,-0.46904563557477985,1,5,-0.4690575508497458,1.1915274965967892e-05
1.1786373333333333,0.0021520532636937206,-4.485042236921441,-0.448667584660285,1,5,-0.4486795225009882,1.193784070319115e-05
1.1789706666666666,0.0019691066094820187,-4.4851884063875005,-0.4283611607538802,1,5,-0.42837312096456914,1.1960210688943818e-05
1.1793040000000001,0.001794270029272016,-4.485327819002084,-0.40812649806380996,1,5,-0.4081384804427635,1.1982378953556694e-05
1.1796373333333334,0.0016275463701516113,-4.485460498707796,-0.38796372961368064,1,5,-0.38797573396380625,1.2004350125605079e-05
1.1799706666666667,0.0014689383470952722,-4.485586469491393,-0.36787298723370476,1,5,-0.36788501335797863,1.2026124273867289e-05
1.180304,0.0013184485429202364,-4.485705755383368,-0.3478544015501601,1,5,-0.347866449240935,1.2047690774896758e-05
1.1806373333333333,0.0011760794082446013,-4.4858183804575535,-0.32790810197483466,1,5,-0.32792017103048526,1.2069055650598681e-05
1.1809706666666666,0.0010418332614469117,-4.485924368830721,-0.3080342166923149,1,5,-0.3080463069080947,1.209021577980307e-05
1.181304,0.000915712288628967,-4.486023744662159,-0.28823287264689057,1,5,-0.2882449838107949,1.211116390431588e-05
1.1816373333333334,0.0007977185435797396,-4.486116532153262,-0.2685041955283882,1,5,-0.26851632742757714,1.2131899188916329e-05
1.1819706666666667,0.0006878539477424561,-4.486202755547111,-0.24884830975668493,1,5,-0.24886046217489874,1.2152418213812188e-05
1.182304,0.00058612029018279,-4.486282439128045,-0.2292653384663641,1,5,-0.22927751119275225,1.2172726388148813e-05
1.1826373333333333,0.0004925192275599954,-4.486355607221239,-0.20975540348949906,1,5,-0.20976759630111452,1.2192811615463484e-05
1.1829706666666666,0.0004070522840999291,-4.486422284192246,-0.19031862533836197,1,5,-0.19033083801019066,1.221267182868746e-05
1.1833040000000001,0.0003297208515700145,-4.486482494446579,-0.17095512318680228,1,5,-0.17096735549944694,1.223231264466107e-05
1.1836373333333334,0.0002605261892569821,-4.4865362624292455,-0.1516650148520089,1,5,-0.15167726657063235,1.2251718623457197e-05
1.1839706666666667,0.0001994694239459971,-4.486583612624293,-0.13244841677465224,1,5,-0.1324606876638303,1.2270889178045419e-05
1.184304,0.00014655154990245167,-4.486624569554355,-0.11330544399905129,1,5,-0.11331773382973336,1.2289830682063463e-05
1.1846373333333333,0.00010177342885581142,-4.4866591577801795,-0.09423621015285377,1,5,-0.0942485186814605,1.2308528606730373e-05
1.1849706666666666,6.513578998540437e-05,-4.486687401900142,-0.07524082742578742,1,5,-0.07525315440793652,1.2326982149105103e-05
1.185304,3.663922990881918e-05,-4.486709326549785,-0.05631940654914658,1,5,-0.05633175174056669,1.2345191420112811e-05
1.1856373333333334,1.6284212671913156e-05,-4.486724956401303,-0.03747205677385779,1,5,-0.037484419920011364,1.2363146153576698e-05
1.1859706666666667,4.0710697415957675e-06,-4.486734316163065,-0.01869888584910484,1,5,-826.3637736710994,826.3450747852503
1.186304,0.0,-5.037634138848642,4.796163466380676e-14,2,2,-826.3497340284562,826.3497340284562
1.1866373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1869706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1873040000000001,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1876373333333334,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1879706666666667,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.188304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
