absolute_improvement_eV,baseline_force_rmse_eV_per_angstrom,baseline_residual_eV,candidate_force_rmse_eV_per_angstrom,candidate_residual_eV,classification,family,geometry_id
0.0,0.3420194139180416,0.0,0.3420194139180416,0.0,unchanged,ethane,ethane_equilibrium
0.0,0.3997605917548828,0.0,0.3997605917548828,0.0,unchanged,formaldehyde,formaldehyde_equilibrium
0.0,0.3795282281800319,0.0,0.3795282281800319,0.0,unchanged,h2,h2_equilibrium
0.0,0.30965751593268276,0.0,0.30965751593268276,0.0,unchanged,h3_transfer,h3_reactant
-8.881784197001252e-16,1.193444125466098,0.3249173909387135,1.1934441254660972,0.3249173909387144,unchanged,h3_transfer,h3_transfer_0p90
0.0,1.5566597885915598,0.10435421769344888,1.556659788591562,0.10435421769344888,unchanged,h3_transfer,h3_transfer_1p06
-1.7763568394002505e-15,0.8865401833163093,-0.1642433585433336,0.8865401833163093,-0.16424335854333538,unchanged,h3_transfer,h3_transfer_1p22
0.0,0.44845441931984814,0.0,0.44845441931984814,0.0,unchanged,h_formaldehyde_transfer,h_formaldehyde_reactant
-3.552713678800501e-15,0.9052677779372126,-0.4297928302310545,0.9052677779372121,-0.4297928302310581,unchanged,h_formaldehyde_transfer,h_formaldehyde_transfer_0p90
3.552713678800501e-15,1.817696806155571,0.5140501318844706,1.8176968061555703,0.514050131884467,unchanged,h_formaldehyde_transfer,h_formaldehyde_transfer_1p06
3.552713678800501e-15,2.0127495490845653,0.26594743756892214,2.0127495490845657,0.2659474375689186,unchanged,h_formaldehyde_transfer,h_formaldehyde_transfer_1p22
0.0,0.9012752320688565,-0.36689411714750975,0.9012752320688565,-0.36689411714750975,unchanged,h_h2_approach,h_h2_linear_1p20
0.0,0.35934520231336387,-0.12472320580371132,0.35934520231336387,-0.12472320580371132,unchanged,h_h2_approach,h_h2_linear_1p80
0.0,0.30162165531036933,0.0,0.30162165531036933,0.0,unchanged,h_h2_approach,h_h2_linear_3p00
0.0,0.6266885808008027,-0.5614949437086807,0.6266885808008027,-0.5614949437086807,unchanged,h_h2_approach,h_h2_perpendicular_1p50
0.0,0.21637546007506586,0.0,0.21637546007506586,0.0,unchanged,methane,methane_equilibrium
0.0,0.12269173843031327,0.0,0.12269173843031327,0.0,unchanged,n2,n2_equilibrium
0.0,1.949543480505775,-0.29908266407879935,1.949543480505775,-0.29908266407879935,unchanged,oh_stretch,oh_stretch_0p80
0.0,0.48844679451132683,0.0,0.48844679451132683,0.0,unchanged,oh_stretch,oh_stretch_0p97
0.0,0.00762762002107385,0.08944487585806016,0.00762762002107385,0.08944487585806016,unchanged,oh_stretch,oh_stretch_1p20
0.0,0.11713962628905794,0.0,0.11713962628905794,0.0,unchanged,water_angle,water_angle_104p5
0.0,0.18624889535801295,-0.0465047662210587,0.18624889535801295,-0.0465047662210587,unchanged,water_angle,water_angle_120p0
0.0,0.4238368359664995,-0.06759988453544352,0.4238368359664995,-0.06759988453544352,unchanged,water_angle,water_angle_90p0
0.0,0.991899172945789,-0.4266824522678725,0.991899172945789,-0.4266824522678725,unchanged,water_h_direction,water_h_probe_h_side
0.0,0.4475202327480665,-0.024623112872180997,0.4475202327480665,-0.024623112872180997,unchanged,water_h_direction,water_h_probe_lone_pair
0.0,0.44109669350189773,0.0,0.44109669350189773,0.0,unchanged,water_h_direction,water_h_probe_out_of_plane
2.6282067803170683,14.462147478211653,2.71728786034004,1.031437088282883,-0.08908108002297155,improved,water_transfer,water_transfer_1p10
-0.013202976296661006,0.9119378529871467,-0.1418628776613584,0.9234286311575355,-0.15506585395801942,regressed,water_transfer,water_transfer_1p30
3.552713678800501e-15,0.9297530210868551,-0.2740087079400624,0.9297530210868558,-0.2740087079400588,unchanged,water_transfer,water_transfer_1p52
0.0,0.6010527385006751,0.0,0.6010527385006751,0.0,unchanged,water_transfer,water_transfer_reactant
