system,point_label,path_index,donor_A,transfer_A,relative_path_energy_eV,model_reactant_diagonal_eV,model_product_diagonal_eV,model_signed_gap_product_minus_reactant_eV,state,fragment_a_charge,fragment_a_mult,fragment_b_charge,fragment_b_mult,exch10_eV,exchange_eV,electrostatics_eV,induction_eV,dispersion_eV,sapt_total_eV,total_minus_exch10_eV,elapsed_s,status,error
formaldehyde,reactant_side,4,1.08,1.1700000000000004,0.00975488454040807,-7.50608778214431,5.608930060412574,13.115017842556885,reactant,0,1,0,2,1.6060068587901797,1.6060068587901797,-0.31732220928857025,-0.5865661840565547,-0.17100380087202605,0.5311146645730286,-1.074892194217151,1.916063699987717,ok,
formaldehyde,reactant_side,4,1.08,1.1700000000000004,0.00975488454040807,-7.50608778214431,5.608930060412574,13.115017842556885,product,0,2,0,1,7.71017289159765,7.71017289159765,-1.746447947749124,-6.68690861883906,-0.9674180249403053,-1.690601699930839,-9.400774591528489,1.3590531000081683,ok,
formaldehyde,early_climb,8,1.2400000000000002,1.1700000000000004,0.22958431181885075,-7.286256553980231,2.4574587732582347,9.743715327238466,reactant,0,1,0,2,1.5339779639499087,1.5339779639499087,-0.2912470169240445,-0.7953668737010868,-0.176166345783418,0.2711977275413595,-1.2627802364085492,1.2434414000017568,ok,
formaldehyde,early_climb,8,1.2400000000000002,1.1700000000000004,0.22958431181885075,-7.286256553980231,2.4574587732582347,9.743715327238466,product,0,2,0,1,5.2415486851457604,5.2415486851457604,-1.4786436689898141,-4.485219255749288,-0.6707970763165766,-1.3931113159099187,-6.634660001055679,1.3886328999942634,ok,
formaldehyde,barrier,13,1.2800000000000002,1.0100000000000002,0.7504821630758638,-5.972713276452382,-2.2363174350008403,3.7363958414515412,reactant,0,1,0,2,2.3177997145963283,2.3177997145963283,-0.3227691751414414,-1.5408100282925532,-0.2628733050456983,0.1913472061166356,-2.1264525084796926,1.2771060000086436,ok,
formaldehyde,barrier,13,1.2800000000000002,1.0100000000000002,0.7504821630758638,-5.972713276452382,-2.2363174350008403,3.7363958414515412,product,0,2,0,1,4.951516854548466,4.951516854548466,-1.4010861898036508,-3.281373001923979,-0.602224509975561,-0.3331668471547251,-5.284683701703191,1.3539671000035014,ok,
formaldehyde,closest_gap,19,1.3600000000000003,0.8500000000000002,0.7418256366267855,-4.506156703352435,-4.637073576546307,-0.1309168731938719,reactant,0,1,0,2,3.369898936364162,3.369898936364162,-0.15704484695843432,-3.024532130789149,-0.3876755933383196,-0.19935363472174106,-3.5692525710859027,1.257902000012109,ok,
formaldehyde,closest_gap,19,1.3600000000000003,0.8500000000000002,0.7418256366267855,-4.506156703352435,-4.637073576546307,-0.1309168731938719,product,0,2,0,1,4.219180593865176,4.219180593865176,-1.2131523711916241,-2.0116078018865124,-0.48957422684438484,0.5048461939426551,-3.7143343999225213,1.335475600004429,ok,
formaldehyde,product_side,31,1.7200000000000006,0.7300000000000001,-0.43236341353407326,1.4735585488542067,-8.261581481361041,-9.735140030215248,reactant,0,1,0,2,4.003836951572401,4.003836951572401,0.4378269728539523,-6.508248789923531,-0.5200747449871181,-2.586659610484296,-6.590496562056697,1.2523698000004515,ok,
formaldehyde,product_side,31,1.7200000000000006,0.7300000000000001,-0.43236341353407326,1.4735585488542067,-8.261581481361041,-9.735140030215248,product,0,2,0,1,1.5744467414937366,1.5744467414937366,-0.47648412087952285,-0.44380977439470753,-0.19685068066333578,0.45730216555617037,-1.1171445759375662,1.3266662999958498,ok,
methane,reactant_side,4,1.08,1.1700000000000004,0.009754134373661572,-18.172888392278818,-4.307350399936029,13.865537992342789,reactant,0,1,0,2,1.6211895446299742,1.6211895446299742,-0.3428727848183493,-0.5717962865435468,-0.17465123584669143,0.5318692374213868,-1.0893203072085873,1.1414279000018723,ok,
methane,reactant_side,4,1.08,1.1700000000000004,0.009754134373661572,-18.172888392278818,-4.307350399936029,13.865537992342789,product,0,2,0,1,6.765722966359248,6.765722966359248,-1.3740824187005711,-6.7435760818097705,-0.8659899971071048,-2.2179255312581985,-8.983648497617446,1.2370707999943988,ok,
methane,early_climb,12,1.2400000000000002,1.0100000000000002,0.7411437456232939,-16.699665147103975,-11.587922931581186,5.1117422155227885,reactant,0,1,0,2,2.3667540316427242,2.3667540316427242,-0.35749540594902296,-1.3639275405253173,-0.2646505035805602,0.38068058158782403,-1.9860734500549002,1.104347799991956,ok,
methane,early_climb,12,1.2400000000000002,1.0100000000000002,0.7411437456232939,-16.699665147103975,-11.587922931581186,5.1117422155227885,product,0,2,0,1,4.824316938417759,4.824316938417759,-1.2790851840406214,-3.809353526657832,-0.599685172538329,-0.8638069448190231,-5.688123883236782,1.1945872000069357,ok,
methane,barrier,21,1.4400000000000004,0.8500000000000002,0.9572742409227324,-14.324910411334532,-15.44342232405276,-1.118511912718228,reactant,0,1,0,2,3.310139420994786,3.310139420994786,-0.13920841452515512,-3.292140382354081,-0.3915489563136804,-0.5127583321981304,-3.8228977531929162,1.0921801000076812,ok,
