system,approach,contact_distance_A,stored_exch10_eV,rerun_exch10_eV,exch10_difference_eV,exchange_component_eV,electrostatics_eV,induction_eV,dispersion_eV,nonexchange_sum_eV,sapt_total_eV,component_sum_eV,total_minus_component_sum_eV,attractive_offset_from_exchange_eV,exchange_cancelled_percent,elapsed_s,basis,method,status,error
CH2O,CH_bond,1.2,1.092076577654417,1.092076469937602,-1.0771681502319552e-07,1.092076469937602,-0.08916419582689941,-0.28645954145396274,-0.16135096583400046,-0.5369747031148626,0.5551017668227394,0.5551017668227394,0.0,0.5369747031148626,49.17006435872973,1.5741053000019747,jun-cc-pvdz,SAPT0,ok,
CH2O,CH_bond,1.5,0.4180620191749402,0.41806196661521444,-5.255972573836587e-08,0.41806196661521444,-0.03528714322917399,-0.09929869319573409,-0.0778630842371758,-0.21244892066208387,0.20561304595313057,0.20561304595313057,0.0,0.21244892066208387,50.81756716166973,1.208957000002556,jun-cc-pvdz,SAPT0,ok,
CH2O,CH_bond,1.85,0.1310786810371439,0.13107866131599422,-1.9721149685514305e-08,0.13107866131599422,-0.0033870434308514094,-0.028778420268272393,-0.03427436605816388,-0.06643982975728768,0.06463883155870653,0.06463883155870653,0.0,0.06643982975728768,50.68699137620861,1.5890985000005458,jun-cc-pvdz,SAPT0,ok,
CH2O,CH_bond,2.2,0.040015504096336564,0.04001549741315044,-6.683186122569129e-09,0.04001549741315044,0.005793487816599624,-0.008778002951001142,-0.016321807452793005,-0.019306322587194523,0.020709174825955915,0.02070917482595592,-3.469446951953614e-18,0.019306322587194526,48.24711383157721,1.152851399994688,jun-cc-pvdz,SAPT0,ok,
CH2O,carbon_end,1.2,5.982058587882019,5.982058300186271,-2.876957481134923e-07,5.982058300186271,-1.4365135910526419,-0.9301075302033487,-0.6605638077053737,-3.027184928961364,2.9548733712249065,2.954873371224907,-4.440892098500626e-16,3.0271849289613644,50.60440365262075,1.1891156999990926,jun-cc-pvdz,SAPT0,ok,
CH2O,carbon_end,1.5,1.7052042565880965,1.7052040444775525,-2.1211054401781837e-07,1.7052040444775525,-0.4101070296642293,-0.22611459216306415,-0.22966984040378852,-0.865891462231082,0.8393125822464704,0.8393125822464704,0.0,0.865891462231082,50.77934602813926,1.3728629000033834,jun-cc-pvdz,SAPT0,ok,
CH2O,carbon_end,1.85,0.4314638258144299,0.43146373805615357,-8.775827631257727e-08,0.43146373805615357,-0.08383137182516198,-0.05223884546027361,-0.08176759946158006,-0.21783781674701563,0.21362592130913788,0.21362592130913793,-5.551115123125783e-17,0.2178378167470157,50.488093791711606,1.155807700000878,jun-cc-pvdz,SAPT0,ok,
CH2O,carbon_end,2.2,0.1111253441607023,0.11112532159952208,-2.2561180215707743e-08,0.11112532159952208,-0.008921081418504982,-0.013997576943664663,-0.033791226501259986,-0.05670988486342963,0.05441543673609245,0.054415436736092455,-6.938893903907228e-18,0.056709884863429635,51.03236962301266,1.1629975000032573,jun-cc-pvdz,SAPT0,ok,
CH2O,out_of_plane,1.2,5.881023543955904,5.881023079102262,-4.648536418017102e-07,5.881023079102262,-0.9756774988128256,-1.773843021852562,-0.6761698814142902,-3.425690402079678,2.4553326770225845,2.4553326770225845,0.0,3.425690402079678,58.24990577324191,1.1713435999990907,jun-cc-pvdz,SAPT0,ok,
CH2O,out_of_plane,1.5,2.4887569892124284,2.4887567900123546,-1.9920007376938997e-07,2.4887567900123546,-0.47686122397720904,-0.6069514468578536,-0.3240828669867939,-1.4078955378218565,1.0808612521904981,1.0808612521904981,0.0,1.4078955378218565,56.57023392048154,1.2629967000029865,jun-cc-pvdz,SAPT0,ok,
CH2O,out_of_plane,1.85,0.8615568005911719,0.8615566994337908,-1.0115738113825046e-07,0.8615566994337908,-0.156205924599951,-0.17094699655193105,-0.14018133232610744,-0.4673342534779895,0.3942224459558013,0.39422244595580125,5.551115123125783e-17,0.46733425347798946,54.2430061521335,1.3056020000003628,jun-cc-pvdz,SAPT0,ok,
CH2O,out_of_plane,2.2,0.28447246024735745,0.284472425508787,-3.473857046465412e-08,0.284472425508787,-0.040058368645892954,-0.04884916898053048,-0.0627913715285751,-0.15169890915499853,0.13277351635378848,0.13277351635378845,2.7755575615628914e-17,0.1516989091549985,53.3264019820834,1.2549846999972942,jun-cc-pvdz,SAPT0,ok,
CH2O,oxygen_end,1.2,5.177283749341099,5.17728342254833,-3.2679276884550745e-07,5.17728342254833,-1.6608699742253967,-1.0889984591832151,-0.477403396101758,-3.2272718295103697,1.9500115930379598,1.95001159303796,-2.220446049250313e-16,3.2272718295103697,62.33523580059023,1.344745000002149,jun-cc-pvdz,SAPT0,ok,
CH2O,oxygen_end,1.5,1.8877378811380796,1.8877376771767156,-2.0396136402034415e-07,1.8877376771767156,-0.6683921419634303,-0.33828739505023525,-0.20609571306347996,-1.2127752500771456,0.67496242709957,0.67496242709957,0.0,1.2127752500771456,64.24490355518898,1.521194100001594,jun-cc-pvdz,SAPT0,ok,
CH2O,oxygen_end,1.85,0.5530337030540489,0.5530336340385634,-6.901548543769565e-08,0.5530336340385634,-0.22370193891909984,-0.0935084419656844,-0.08458025831645757,-0.4017906392012418,0.15124299483732165,0.15124299483732162,2.7755575615628914e-17,0.4017906392012418,72.65211634003884,1.4734610999948927,jun-cc-pvdz,SAPT0,ok,
CH2O,oxygen_end,2.2,0.1553824636163894,0.15538245171960297,-1.1896786444864915e-08,0.15538245171960297,-0.08212541239360949,-0.028863972557940022,-0.03789023586124057,-0.14887962081279008,0.006502830906812867,0.00650283090681289,-2.2551405187698492e-17,0.1488796208127901,95.81495153741838,1.4538812000027974,jun-cc-pvdz,SAPT0,ok,
CH4,CH_bond,1.2,1.11863104109271,1.1186309901839504,-5.090875965230168e-08,1.1186309901839504,-0.13323324374516723,-0.2687026211030725,-0.16483012103047348,-0.5667659858787132,0.5518650043052371,0.5518650043052372,-1.1102230246251565e-16,0.5667659858787133,50.6660365082066,1.1035893999942346,jun-cc-pvdz,SAPT0,ok,
CH4,CH_bond,1.5,0.429560917936745,0.42956089151661797,-2.642012703057972e-08,0.42956089151661797,-0.061196757565400536,-0.08978696718041064,-0.07927591269392899,-0.23025963743974015,0.19930125407687782,0.19930125407687782,0.0,0.23025963743974015,53.603491841815476,1.033847999999125,jun-cc-pvdz,SAPT0,ok,
CH4,CH_bond,1.85,0.13474500458954647,0.1347449945362465,-1.0053299970280705e-08,0.1347449945362465,-0.01834296545629568,-0.02417648064232674,-0.03472655604423529,-0.0772460021428577,0.057498992393388806,0.05749899239338879,1.3877787807814457e-17,0.07724600214285769,57.32754853619328,1.3392288999966695,jun-cc-pvdz,SAPT0,ok,
CH4,CH_bond,2.2,0.0409866507634443,0.04098664680777651,-3.955667793320572e-09,0.04098664680777651,-0.003660653434508554,-0.0064461461674111395,-0.016438792722020194,-0.02654559232393989,0.014441054483836624,0.014441054483836618,5.204170427930421e-18,0.02654559232393988,64.76644075919701,1.3116825000033714,jun-cc-pvdz,SAPT0,ok,
CH4,edge,1.2,5.360874582481037,5.3608743763660405,-2.061149961818387e-07,5.3608743763660405,-1.4895913259095739,-0.8916860359054606,-0.6136888899479257,-2.9949662517629605,2.3659081246030804,2.36590812460308,4.440892098500626e-16,2.99496625176296,55.86712244119305,1.3302856999944197,jun-cc-pvdz,SAPT0,ok,
CH4,edge,1.5,1.6989919914664269,1.6989918266075459,-1.6485888099104784e-07,1.6989918266075459,-0.4936044845836115,-0.24350907861765098,-0.2273011523559218,-0.9644147155571843,0.7345771110503616,0.7345771110503616,0.0,0.9644147155571843,56.76394085325736,1.2915626000030898,jun-cc-pvdz,SAPT0,ok,
