pair,element_a,element_b,orientation,distance_A,exch10_hartree,exch10_eV,exch10_s2_hartree,exch10_s2_eV,exact_to_s2_ratio,status
H-H,H,H,end,0.95,0.08463106115837918,2.3029284935884884,0.07911599680573572,2.1528559473172275,1.0697085870786074,ok
H-H,H,H,end,1.2,0.039642750683108394,1.078734200691467,0.03834337058732963,1.0433762670248823,1.033887998782458,ok
H-H,H,H,end,1.45,0.01794110538085868,0.48820234819851915,0.017656183836950536,0.4804492380174314,1.0161372098602568,ok
H-H,H,H,end,1.7,0.007899087655592734,0.2149451251872497,0.007840016473719855,0.21333771644129979,1.007534573692656,ok
H-H,H,H,end,2.0,0.0028674052617110872,0.0780260721001987,0.0028589717102814076,0.07779658347482028,1.0029498548024631,ok
H-H,H,H,end,2.35,0.0008541928302691952,0.02324377103300874,0.0008533752353318727,0.02322152314137649,1.0009580720220979,ok
H-H,H,H,T,0.95,0.1603891830169057,4.364412008751479,0.14173063776792935,3.85668712719334,1.131647931194157,ok
H-H,H,H,T,1.2,0.07981560169620867,2.1718931662114693,0.07488509440200733,2.037727227840295,1.065840970537245,ok
H-H,H,H,T,1.45,0.037970394550613636,1.0332270720293055,0.036783485116698635,1.0009296209840375,1.032267454542424,ok
H-H,H,H,T,1.7,0.01745528066525469,0.4749823842143718,0.01718953285462455,0.4677510178952893,1.0154598622823334,ok
H-H,H,H,T,2.0,0.006638592411471968,0.18064530223824862,0.006597727803666577,0.17953331961146532,1.0061937395754157,ok
H-H,H,H,T,2.35,0.002067944155402241,0.05627162714778381,0.0020637214152433906,0.056156720534304885,1.0020461774189384,ok
H-H,H,H,side,0.95,0.39936601364319996,10.867302850765627,0.2957588249125191,8.048007620354095,1.3503097118448664,ok
H-H,H,H,side,1.2,0.2038603945431302,5.54732393617262,0.17444535659306307,4.746899977072948,1.1686203549612673,ok
H-H,H,H,side,1.45,0.09927647512458623,2.7014505097553356,0.09178419131223256,2.4975750810728163,1.081629349294655,ok
