system,state,donor_A,transfer_A,fragment_a_charge,fragment_a_mult,fragment_b_charge,fragment_b_mult,exch10_eV,exchange_eV,electrostatics_eV,induction_eV,dispersion_eV,sapt_total_eV,total_minus_exch10_eV,total_minus_exchange_eV,elapsed_s,status,error
formaldehyde,reactant,1.28,1.01,0,1,0,2,2.31779971459464,2.31779971459464,-0.3227691751402571,-1.5408100282889716,-0.2628733050455936,0.19134720611981726,-2.1264525084748227,-2.1264525084748227,1.9850545999943279,ok,
formaldehyde,product,1.28,1.01,0,2,0,1,4.951516854551063,4.951516854551063,-1.4010861898699694,-3.281373001924328,-0.602224509976182,-0.33316684721941703,-5.284683701770479,-5.284683701770479,1.604436199995689,ok,
water,reactant,1.1,1.3,0,1,0,2,2.9292623062858043,2.9292623062858043,-1.2974833937540577,-0.8972984224764594,-0.2587565819936507,0.47572390806163617,-2.4535383982241683,-2.4535383982241683,1.7749069999990752,ok,
water,product,1.1,1.3,0,2,0,1,5.111853975481795,5.111853975481795,-2.0570786375739494,-3.684114865975957,-0.4461228970909171,-1.0754624251590283,-6.187316400640823,-6.187316400640823,1.8424431000021286,ok,
methane,reactant,1.44,0.85,0,1,0,2,3.310139420995037,3.310139420995037,-0.13920841452920335,-3.2921403823540416,-0.39154895631372677,-0.5127583322019353,-3.8228977531969726,-3.8228977531969726,1.5415063999971608,ok,
methane,product,1.44,0.85,0,2,0,1,2.992717480695819,2.992717480695819,-0.8930173711631235,-1.553561185456515,-0.3691996477855404,0.17693927629063977,-2.8157782044051793,-2.8157782044051793,1.5328252000035718,ok,
