donor_ch_A,forming_hh_A,reactant_diag_eV,product_diag_eV,signed_gap_product_minus_reactant_eV,abs_gap_eV,coupling_eV,reactant_covalent_eV,reactant_wall_total_eV,reactant_unoccupied_hh_wall_eV,product_covalent_eV,product_wall_total_eV,product_unoccupied_breaking_ch_wall_eV,lowest_h_state_component_eV,mixing_lowering_from_lower_diagonal_eV,full_energy_eV,state_count,candidate_edge_count,donor_edge_active
1.05,1.0100000000000002,-6.2825656817028666,1.316989761558096,7.599555443260963,7.599555443260963,1.8947192744495904,-7.499641056288848,1.2170753745859808,1.2170753745859808,-6.624952215041398,7.9419419765994945,7.9419419765994945,-6.728759210890049,-0.44619352918718214,-14.500290225284306,2,3,1
1.07,1.0100000000000002,-6.296200513168548,0.9331327642314031,7.2293332773999515,7.2293332773999515,1.8947192744495904,-7.51327588775453,1.2170753745859808,1.2170753745859808,-6.624952215041398,7.5580849792728015,7.5580849792728015,-6.7626827369705715,-0.4664822238020232,-14.534213751364831,2,3,1
1.09,1.0100000000000002,-6.299215622651841,0.5653251248437847,6.864540747495626,6.864540747495626,1.8947192744495904,-7.516290997237823,1.2170753745859808,1.2170753745859808,-6.624952215041398,7.190277339885183,7.190277339885183,-6.787460654750271,-0.48824503209842973,-14.55899166914453,2,3,1
1.11,1.0100000000000002,-6.2926907702808705,0.21309498157184326,6.505785751852714,6.505785751852714,1.8947192744495904,-7.509766144866851,1.2170753745859804,1.2170753745859804,-6.624952215041398,6.838047196613242,6.838047196613242,-6.804273049170019,-0.5115822788891489,-14.575804063564277,2,3,1
1.1300000000000001,1.0100000000000002,-6.277618612574557,-0.12403313057301446,6.153585482001542,6.153585482001542,1.894719274449583,-7.494693987160527,1.2170753745859706,1.2170753745859706,-6.624952215041379,6.500919084468364,6.500919084468364,-6.814219664124744,-0.5366010515501873,-14.585750678519004,2,3,1
1.1500000000000001,1.0100000000000002,-6.254911181079855,-0.4465362137053033,5.808374967374552,5.808374967374552,1.8947192744495782,-7.4719865556658185,1.2170753745859633,1.2170753745859633,-6.624952215041365,6.178416001336061,6.178416001336061,-6.8183260490725655,-0.5634148679927105,-14.589857063466825,2,3,1
1.1700000000000002,1.0100000000000002,-6.225405895823146,-0.7548909505988899,5.470514945224256,5.470514945224256,1.894719274449583,-7.442481270409116,1.2170753745859708,1.2170753745859708,-6.624952215041379,5.870061264442489,5.870061264442489,-6.817548995797859,-0.592143099974713,-14.589080010192117,2,3,1
1.1900000000000002,1.0100000000000002,-6.189871146426452,-1.0495720436532947,5.140299102773158,5.140299102773158,1.8947192744495782,-7.406946521012415,1.2170753745859628,1.2170753745859628,-6.624952215041365,5.57538017138807,5.57538017138807,-6.812781232043756,-0.6229100856173035,-14.584312246438015,2,3,1
1.2100000000000002,1.0100000000000002,-6.149011471437973,-1.3310507356931112,4.817960735744862,4.817960735744862,1.8947192744495904,-7.366086846023953,1.2170753745859808,1.2170753745859808,-6.624952215041398,5.293901479348287,5.293901479348287,-6.804855330461038,-0.6558438590230651,-14.576386344855296,2,3,1
1.2300000000000002,1.0100000000000002,-6.103472364286653,-1.5997934995663652,4.503678864720288,4.503678864720288,1.8947192744495782,-7.320547738872617,1.2170753745859633,1.2170753745859633,-6.624952215041365,5.0251587154749995,5.0251587154749995,-6.794546786952305,-0.6910744226656513,-14.566077801346562,2,3,1
1.2500000000000002,1.0100000000000002,-6.0538447322780495,-1.8562608840968187,4.197583848181231,4.197583848181231,1.8947192744495904,-7.270920106864031,1.2170753745859808,1.2170753745859808,-6.624952215041398,4.76869133094458,4.76869133094458,-6.782576224465144,-0.7287314921870944,-14.554107238859403,2,3,1
1.2700000000000002,1.0100000000000002,-6.000669033198356,-2.1009065045351836,3.8997625286631727,3.8997625286631727,1.8947192744495702,-7.217744407784309,1.217075374585953,1.217075374585953,-6.624952215041343,4.52404571050616,4.52404571050616,-6.769610689537046,-0.7689416563386899,-14.541141703931306,2,3,1
