system,reference_low_eV,reference_high_eV,baseline_eta,baseline_barrier_eV,required_eta_low,required_eta_high,matched_barrier_low_eV,matched_barrier_high_eV,eta_over_h3_low,eta_over_h3_high,saddle_donor_A,saddle_transfer_A,status
formaldehyde,0.324,0.324,0.534590721,0.7504821630758638,0.7265625,0.7265625,0.32260018941338053,0.32260018941338053,1.3591004696843587,1.3591004696843587,1.12,1.0500000000000003,ok
water,0.364,0.525,0.534590721,0.5459826438181423,0.541015625,0.6015625,0.5231174896404838,0.36394424380484125,1.0120183604907724,1.125276732964469,1.1,1.3000000000000003,ok
methane,0.64,0.64,0.534590721,0.9572742409227324,0.630859375,0.630859375,0.6413529544396148,0.6413529544396148,1.180079171258193,1.180079171258193,1.5200000000000005,0.8100000000000002,ok
