path_index,grid_i,grid_j,donor_ch_A,forming_hh_A,path_energy_eV,relative_path_energy_eV,old_reactant_diag_eV,old_product_diag_eV,sapt_reactant_diag_eV,sapt_product_diag_eV,reactant_diag_shift_eV,product_diag_shift_eV,old_ground_component_eV,sapt_ground_component_eV,ground_component_shift_eV,sapt_gap_eV
0,2,24,1.08,1.6100000000000008,-15.289267965344397,0.0,nan,nan,nan,nan,nan,nan,-7.516041301991931,-7.51604130199193,1.7763568394002505e-15,nan
1,2,23,1.08,1.5700000000000007,-15.289267965128104,2.162927614790533e-10,nan,nan,nan,nan,nan,nan,-7.51604130199193,-7.51604130199193,0.0,nan
2,2,22,1.08,1.5300000000000007,-15.289267964911778,4.326192737380552e-10,nan,nan,nan,nan,nan,nan,-7.5160413019919305,-7.5160413019919305,0.0,nan
3,2,21,1.08,1.4900000000000007,-15.289267964695423,6.489742077064875e-10,nan,nan,nan,nan,nan,nan,-7.516041301991926,-7.516041301991928,-1.7763568394002505e-15,nan
4,2,20,1.08,1.4500000000000006,-15.289267964479036,8.65361116098029e-10,nan,nan,nan,nan,nan,nan,-7.51604130199193,-7.51604130199193,0.0,nan
5,2,19,1.08,1.4100000000000006,-15.289267964262622,1.0817746698421615e-09,nan,nan,nan,nan,nan,nan,-7.51604130199193,-7.51604130199193,0.0,nan
6,2,18,1.08,1.3700000000000006,-15.289267964046171,1.2982255270799214e-09,nan,nan,nan,nan,nan,nan,-7.51604130199193,-7.51604130199193,0.0,nan
7,2,17,1.08,1.3300000000000005,-15.289267963829696,1.514701253313433e-09,nan,nan,nan,nan,nan,nan,-7.516041301991926,-7.516041301991928,-1.7763568394002505e-15,nan
8,2,16,1.08,1.2900000000000005,-15.289267963613108,1.7312888900278267e-09,nan,nan,nan,nan,nan,nan,-7.516041301991841,-7.516041301991841,0.0,nan
9,2,15,1.08,1.2500000000000004,-15.289267963395949,1.9484485136445073e-09,nan,nan,nan,nan,nan,nan,-7.516041301991306,-7.516041301991306,0.0,nan
10,2,14,1.08,1.2100000000000004,-15.289267963162956,2.1814408057707624e-09,nan,nan,nan,nan,nan,nan,-7.516041301973699,-7.516041301973699,0.0,nan
11,2,13,1.08,1.1700000000000004,-15.279513046726798,0.009754918617598918,-7.5081079550722745,0.052709139118896076,-7.506281212437631,5.688778212681104,0.0018267426346438853,5.636069073562208,-7.50811501536455,-7.506286385778305,0.0018286295862450785,13.195059425118735
12,3,13,1.12,1.1700000000000004,-15.266711697196419,0.022556268147978287,-7.495306313293087,-0.46232258658641623,-7.493479570658445,4.785716008817387,0.001826742634642109,5.248038595403803,-7.495313903467164,-7.49348512986084,0.0018287736063236082,12.279195579475832
13,4,13,1.1600000000000001,1.1700000000000004,-15.2215089159755,0.0677590493688971,-7.45010071827224,-0.9082822478499928,-7.448273975637596,3.9582036445820887,0.0018267426346438853,4.866485892432081,-7.4501088783216245,-7.448279960178209,0.0018289181434152368,11.406477620219684
14,5,13,1.2000000000000002,1.1700000000000004,-15.15061577482493,0.1386521905194673,-7.379207279073631,-1.294433254573046,-7.377380536438987,3.2019522864430314,0.0018267426346438853,4.496385541016077,-7.37921605204551,-7.377386988880167,0.0018290631653430367,10.57933282288202
